Guglielmo Achille Cavellini,		2014-06-12 20:00:00	2014-06-12 20:00:00	2014-06-12 18:00:00	2014-06-12 18:00:00	2014-06-20 16:00:00
Jancsó Miklós		2001-06-05 17:00:00
G. István László		2001-07-05 18:00:00	2001-07-03 18:00:00
Gergely Mariann művészettörténész		2009-10-29 18:00:00
Zsemlye Ildikó és Újházi Péter,		2017-05-13 15:00:00	2017-05-12 16:00:00
Hans KOTTER		2011-05-05 18:00:00	2011-05-04 19:00:00	2016-11-03 18:00:00	2016-11-02 19:00:00
Veres Júlia,		2017-09-20 17:00:00	2017-05-13 15:00:00	2017-05-11 19:00:00
Makk Lilla Orsolya,		2018-09-12 18:00:00
KONOK Tamás,		2015-06-21 15:00:00	2015-06-18 18:30:00	2018-09-24 19:00:00	2018-09-26 19:00:00	2016-12-07 18:00:00	2016-12-06 18:00:00
Pauer Gyula  Perneczky Géza,		2010-10-28 18:00:00	2010-10-28 19:00:00
Németh Hajnal		2009-03-24 17:00:00	2009-03-27 18:00:00	2015-12-02 18:00:00	2015-12-04 19:00:00	2010-09-08 18:00:00	2010-09-07 18:00:00	2015-01-12 16:00:00	2015-01-15 19:00:00	2012-05-15 17:00:00	2012-05-18 19:00:00	2001-12-12 17:00:00	2001-12-11 18:00:00	2017-03-14 17:00:00	2017-03-17 17:00:00	2011-09-16 19:00:00	2011-09-14 19:00:00	2013-04-09 18:00:00	2013-04-10 18:00:00
Mohács András szobrászművész MOME adjunktus		2016-04-20 18:00:00	2016-04-20 18:00:00
Schmied Andrea,		2017-10-03 19:00:00	2017-10-07 15:00:00
Fodor Dávid,		2014-04-13 15:00:00	2014-04-11 18:00:00
Bodoloczki Linda,		2010-01-30 17:00:00	2010-01-28 18:00:00	2011-10-05 18:00:00
Tóth Pál Sándor,		2012-05-31 19:00:00	2012-06-01 19:00:00	2010-04-10 16:00:00	2010-04-08 18:00:00
Kocsis Csaba,		2003-09-05 01:00:00	2003-09-05 18:00:00
Miklós János,		2011-08-08 18:00:00	2011-08-12 18:00:00	2011-02-22 18:00:00	2011-02-25 17:00:00	2009-01-16 17:00:00
Jánosi Antal,		2002-12-02 18:00:00	2002-12-03 19:00:00
Luchezar Boyadjiev,		2017-10-10 18:00:00	2017-10-12 17:00:00
Volmuth Krisztián,		2008-05-22 18:00:00
Kondor Attila,		2019-09-17 18:00:00	2019-09-17 18:00:00	2019-08-31 21:00:00	2019-08-30 19:00:00	2017-11-05 15:00:00	2017-11-03 13:00:00	2014-09-17 18:30:00	2013-03-20 19:00:00	2013-03-21 18:00:00	2014-01-09 18:00:00	2014-01-07 18:00:00	2015-03-20 18:00:00	2015-03-17 20:00:00	2013-11-13 18:00:00	2013-11-14 18:00:00	2009-02-16 18:00:00	2009-02-19 18:00:00	2017-05-18 19:00:00	2017-05-19 16:00:00	2017-09-21 18:00:00	2017-06-15 18:00:00	2011-11-30 16:00:00	2011-11-30 18:00:00	2017-10-10 18:00:00	2017-10-10 16:00:00	2007-05-31 19:00:00	2010-11-29 18:30:00	2010-12-02 18:00:00	2015-10-06 18:00:00	2015-10-06 18:00:00	2007-01-19 18:00:00	2007-01-17 18:00:00
Prieger Zsolt (Anima Sound system)		2002-05-23 16:00:00	2002-05-24 18:00:00
Eleőd Ákos,		2008-11-20 19:00:00	2008-11-20 19:00:00	2008-11-20 19:00:00	2008-11-20 19:00:00	2008-11-20 19:00:00	2008-11-20 19:00:00	2008-11-20 18:00:00	2008-11-20 18:00:00	2010-06-18 17:00:00
MÁTRAI Erik,		2015-04-13 18:00:00
Budaházi Tibor,		2009-01-27 19:00:00	2009-01-29 17:00:00	2019-12-04 18:00:00	2019-12-04 18:00:00	2014-09-10 18:00:00	2014-09-09 18:00:00	2017-12-13 18:00:00
BREZI,		2011-01-29 18:00:00	2011-01-28 19:00:00
Temple Réka		2016-05-18 18:00:00	2016-05-17 18:00:00
BIESS Katalin,		2018-11-29 18:00:00	2018-11-29 18:00:00	2016-04-05 19:00:00	2016-04-08 19:00:00
Cãlin Dan,		2009-11-14 19:30:00	2009-11-10 18:00:00
Dr. Tóth József		2014-04-18 18:00:00	2014-04-17 18:00:00
Sármán Nóra,		2012-04-13 14:00:00	2012-04-12 20:00:00
SALLAI Géza,		2009-11-18 18:00:00	2009-11-18 19:00:00	2010-05-05 19:00:00	2010-05-05 15:00:00
EL Kazovszkij,		2014-05-14 18:00:00
KNEISZ Eszter,		2017-02-11 10:30:00	2017-02-06 18:00:00
Böröcz Sándor		2019-04-27 10:00:00	2019-04-25 17:00:00
Trifán László,		2018-06-13 19:00:00	2018-06-11 16:00:00
Ficsku Pál		2008-09-11 17:00:00	2008-09-11 17:00:00	2001-03-16 18:30:00
