	8
Alex Webb kiállításán	3
Konrad Smolenski,	4
Agata Siecinska,	1
Klaniczay Gábor történész	2
Koós Pál	2
Szegedi Kata,	1
Mare Tralla,	2
Nikita Apanasenko,	2
Závada Pál író	2
Körei Sándor,	6
Diamond,	1
Maróti-Body Dénes,	2
Yan Yeresko,	16
L. Nagy Istvan,	2
rajztanár,	2
Tulipán Zsuzsanna	2
Szentmártoni János,	4
A Magyar Szobrász Társaság és a Műcsarnok közös szimpóziuma,	2
Kapolka Gábor,	2
Hérics Nándor,	12
Szécsi Zoltán,	2
Paul Iby,	2
Stach Szumski,	2
Kondor Attila festőművész	3
Katona Júlia művészettörténész,	3
Csernus Imre	2
FUKUI Akira,	2
Colin FORD	2
világhíres magyar zongoraművész és karmester,	2
Pavla Sceranková	1
Oltai Kata	46
Marc De Blieck,	2
José Luis Martinez H.,	2
MAMÜ hangok,	1
Fabényi Julia,	41
a Magyar Írószövetség elnöke,	2
Christina Werner	2
Granasztói Szilvia	1
Emberi Erőforrások Minisztériuma,	4
Dr. fabényi Julia a Mïcsarnok foigazgatója	2
Rúrí,	2
Sass Valéria és Szabó Ádám szobrászosztály kiállítása,	1
Kékesi Zoltán	15
***,	2
Sean Snyder,	2
Marita Muukkonen	1
Vizuális Stúdiumok Műterme	2
Sharon Balaban,	2
Koncz István,	4
Harka Ágnes,	4
Repászki Béla mv.,	4
Damian Le Bas,	2
A Kreatív Töltet foglalkozásain résztvevő diákok,	2
Orosz Márton,	5
Polgár Csaba,	5
Pauline Boudry & Renate Lorenz,	10
Váci Mihály szalókör	2
Páll Tomi,	2
Somogyi Hajnalka	17
Sárvári Zita	26
Kaspars Goba (Riga)  Wojciech Doroszuk (Krakkó/Rouen),	2
Garamvölgyi Béla,	12
Tatjana Schülke,	2
STURCZ János	4
Szoboszlai János,	34
WENIGER Nicole,	2
TNPU (St.TURBA Tamás),	1
hogyan fog kezet a matyó hímzés a kortárs kultúrával	2
Kanada - Odette E,	2
Komoli Réka,	2
Máder Barna,	1
Tellér Mária,	8
dr. Baán László	2
Készmán József művészeti író és Gaál József képzőművész	1
Dr. Egri Mária művészettörténész	2
Dohy Anna,	2
Kukla Krisztiánnal	1
Ivo PRECEK,	2
Martin McDonagh: Három óriásplakát Ebbing határában	1
Bálványos Anna művészettörténész	1
Ekler Artúr,	3
Franti¹ek Kowolowski,	2
Beke László,	44
Karolina Bregula,	2
Paul ONeill,	2
Virág Ágnes művészettörténész	6
Július KOLLER,	5
Kóródi Zsuzsanna	2
Bijan Moosavi,	2
Bolla Rita,	8
USA),	4
Márkos Albert	2
Péter Alpár,	14
Harry van de Bospoort,	2
Ő maga,	3
Szász János	2
Korponai Elza Csilla,	1
Dobrovits Mihály	2
Gabriel Barna,	2
Képek és versek,	2
Belga,	2
Michal Amarek,	2
Joseph Beuys,	21
Carl von Weiler,	2
A  TOLCSVAI LAND ART MŰVÉSZTELEP KIÁLLÍTÁSA,	2
Krzystof Kieslowski,	3
rendező,	6
Dr. Pressing Lajos	2
Csata Judit,	2
vetítések,	3
a Cseh Építészek Szövetségének elnöke,	2
Oleg Kulik,	15
Grisztel Eliza	1
Tranker Kata	14
Yvonne Buchheim,	1
Dilar DIRIK/Jonas STAAL,	2
Turányi Gábor,	7
Alexander TOLNAY művészettörténész	2
Birkás Ákos festőművész	2
efZámbó István,	11
Nemes Csaba DLA képzőművész,	1
BROUSSAUD Gilles FR,	2
Lauren Perlow,	2
Ruzsa Dénes	1
Maria Silvennoinen A FinnAgora kulturális menedzsere	2
Alissa Nirgi,	2
SZALIPSZKI Judit  kurátor	2
Ivo Weber  (Köln),	2
Hézső Ferenc,	2
Lázár Nóra,	2
Találkozni Művészet...	2
Standeisky Éva történész,	2
Emilio Vilanova,	1
Hans Knoll,	6
SZACSVA Y PÁL,	2
BRAUN András,	2
Ferkai András,	8
Szolnoki Művésztelep 2002-2007,	1
Robert Doisneau,	2
Matei Bejenaru,	2
az Angolai Köztársaság nagykövete,	2
Bányay Anna grafikusművész,	1
filmkritkus,	2
a Lengyel Intézet igazgatója,	10
Kiss Zsombor,	2
Sztrákos Eszter	2
Szabó Noémi,	71
Dallos Ádám (H),	2
Amalie Atkins,	2
az FKSE tagsága	2
Gergye Krisztián Társulata,	1
Francoise Gilot,	2
Sipos Eszter és Horváth Csaba Árpád,	1
Ravasz Jonathan – Filip Ruisl,	2
Miina Savolainen,	2
...  Zsemlye Ildikó,	2
Kohán Szabina,	2
Dr. habil Csanádi Judit DLA (MKE rektor),	2
Tóthné Szabó Magda,	2
&#183;	Fekete Zoltán videoinstallációja,	2
Shandor Hassan	6
Schumann Bianka,	9
Sárosdy Judit művészettörténész	2
Veres Szabolcs	4
Gaál András,	4
DVD/CD kiadványok,	2
Lisziák Elek,	3
LUKÁTS Márton András,	2
Camille JUTHIER,	2
Dénes Eszter,	2
Lawrence Weiner,	2
Petra Richar,	2
Sarmen Beglarian,	2
Rácz Aladár,	2
Érmezei Zoltán,	1
Entz Sarolta művészettörténész	4
Elena Porubänová,	2
Prof Ir Kas Oosterhuis,	2
Szabó Ádám B.,	2
Kitta,	2
Sajó Edit,	2
Iski Kocsit Tibor,	2
Federits Zsófia,	2
PAUER Gyula,	3
Jo Enzweiler,	2
Bácsi Róbert László	2
Egyszerű többség	2
Tom Nørring,	4
Dragon Zoltán,	3
Czirják Pál	2
Kevin DOOLEY,	1
Yuno Designe,	2
Klenyánszki Csilla,	11
BENCZÚR Emese,	7
Laczkó László,	2
Medve Mihály kurátor	2
EJTECH (Kárpáti Judit Eszter + Esteban De La Torre),	1
Garrett Nelson (USA/CH),	4
Mats Lindström,	1
Mischa Reska,	2
Új kolumbiai festészet,	2
a szerző	2
a Romédia Alapítvány létrehozója	2
Kozári Hilda,	4
Piotr Krajewski  a WRO Art Center főkurátora	2
Smiló Dávid építész	2
Jonathan Dell,	3
Ferenczy Zsolt képzőművész,	3
a "Laznia" Kortárs Művészeti Központ-Gdansk igazgatójának előadása a Kortárs/Ludwig Múzeum előadótermében	1
KÁROLY KESERÜ,	1
Nataša Ilić,	1
Mórocz Viktor,	1
Kormos Zsófi,	2
Buday Enikő	2
Aaron Blumm	2
Pelesek Dóra	1
Kovács Andrea,	3
Karin Kerkmann és Verena Weckwert	1
Heimo ZOBERNIG,	2
Peeter Tooming,	2
Doró,	2
HORVÁTH TIBOR,	2
Zofia Kulik,	2
G. B. Jones & Bruce LaBruce,	10
Tornyi Gergő; képzőművész	2
Fábián Gábor	2
Mona Vatamanu és Florin Tudor,	2
Bujdosó Attila,	2
Karl Fruzsina,	12
Dr. Mecsi Beatrix	1
Halas István	2
Építészet a 3D nyomtatás korában	1
Markovits Péter és munkatársai,	2
Az FKSE 56 tagja,	2
Bognár Krisztina,	3
FARKAS Dénes,	1
Gonda Tibor alpolgármester úr	1
Zhu,	6
Tímár Katalin	4
Pap Emese,	2
Borgó György Csaba,	4
Balogh Gallus,	2
FORSCH BOTOND,	1
Ágoston Béla	4
Előadó: Gelencsér  Gábor filmtörténész	2
BLAZSEK András,	1
ICA-kru	1
Quantum Tango	1
Kontroll Csoport,	2
Franciaország Magyarországi Nagykövete,	2
Horváth,	2
Dobos Gábor,	2
Zoran Tairovic´,	2
Szirtes András,	13
Czeglédi Nina (CDN/H),	2
VARGA Ádám,	2
Rácz Zoltán,	2
Friso Wiersum,	2
Man­del Ró­bert	2
a megnyitóval egy időben katalógus bemutató:  Németh Hajnal  Mai Magyar Fotóművészet / 5,	2
Gokula Stoffel	1
Vasák Benedek Balázs	2
Beluszár Csaba,	2
Vázsonyi János	4
Román György,	2
Máder Barnabás,	2
Gerhes Gábor,	115
Kala Bence,	6
Uri / Baranyay András / Bartl József / Brame,	2
FEKETE ATTILA a Magyar Állami Operaház énekművésze,	2
Kingston University FASS London,	2
Simon Márton költő-slammer,	2
prokaryote precariat,	2
Viktorovics	2
Toronyi Zsuzsanna,	2
Marc Henderson,	2
SIPOS Eszter,	2
Nádas Eszter,	5
Szikra Renáta	7
Könyvbemutató és kiállítás,	4
Simon Zoltán grafikus,	2
Farkas Zsófia,	23
Joanna Zemanek (PL),	2
Chris Marker,	2
KECSKÉS Péter,	7
Turczi István,	2
TÖRÖK Bianka,	2
Verebics Ágines Szabó Ágnes,	1
Koroknai Zsolt,	119
Cyranski Mária,	2
Kis Róka Csaba	5
Érmezei Zoltán - Rauschenberger János,	2
Neuberger István,	1
19-00 h Performansz koncepció: Molnár Csaba & Szeri Viktor; Résztvevők: Cuhorka Emese,	2
GÁBOR Imre,	2
Simon-Tajdina Balázs,	2
Rózsa Gyula,	2
Ötletgazda: Krizbai Sándor,	2
Szilágyi Gábor művészettörténész	4
Leonard Qylafi,	2
Török László,	2
Dmitrij PRIGOV,	2
Tóth József	2
Pál Csaba képzőművész,	1
A kerékpár kultúrtörténete,	2
Deák Csillag,	3
Szabó Zoltán,	2
Mátrai Erik	10
MAMŰ HANGOK,	1
Gál Bettina,	2
Jaroslav Rössler,	1
HINTS csoport,	2
),	2
DNS,	2
Zbigniew Libera	1
Shymko Svitlana (DocNomads-SZFE),	2
Lida Mikhailova,	1
Hendrik-Jan Hunneman,	1
Bodonyi Emőke,	12
Fiterman Lea,	2
Dr. Susanne Bachfischer,	6
Gáspár Dániel,	2
Pisnjak Atilla művészettörténész	2
TAMÁS,	1
Szabó Dávid baleseti sebész	1
Pitti Zsuzsa,	1
Lévai Levente,	1
Eleni Papamanoli,	2
Alexander Saburov (Blue Noses),	1
László Zoltán,	2
Bartosz Kokosiński	3
Eifert János	4
Molnár Zsolt	1
Dárdai Zsuzsa	2
NYME BDPK Művészeti Intézet,	2
Nagy Stewe,	1
Vasarely Múzeum,	2
Franciaország magyarországi nagykövete	2
fe Lugossy László,	12
Prof. Dr. Dieter Honisch,	1
Zofia KULIK,	2
Molnár Edit,	34
Tim Vermeulen,	2
Magócs Gréta,	2
MÉCS Miki,	2
Magyar Gábor,	8
Stefania Piga (Róma),	6
Szalai Borbála művészettörténész	1
Wágner János,	2
Kristóf Gábor	13
Anahita RAZMI,	1
Chimera Project,	2
Akira Kurosawa	1
DOMANOVSZKY Endre,	2
megnyitja:Fábián László író,	2
Alexander Gyenes	2
(Montevideo/New York),	2
Mexikó nagykövete	2
KŐRÖSI Zoltán  író	2
Jakob Kirchweger,	2
Kiss Kata,	2
Szigethy Márton,	2
Prof. Hilde Léon,	1
Gosztola Kitti & Hegedűs Fanni & Pálinkás Bence,	2
TNPU (Telekommunikáció Nemzetközi Paralel Uniója,	4
Fényes Adolf,	2
Mamikon Yengibarian	3
érdeklődőknek 5.	1
VETLÉNYI Zsolt,	1
Orsovai Dezső,	2
Ravasz Erzsébet,	1
Czégé Imre Pál sajtóreferens és online marketing-szakértő,	2
Dr.P.Barna Judit,	1
Shunsuke Francois Nanjo	2
(Attitudes),	2
Bíró Sándor,	9
Gryllus Samu – Kertész Krisztián,	1
Nyolczas István,	2
Dr. Jeff Taylor  State University of New York,	2
Danyi Zoltán,	2
az installációt bemutatja: Fekete Vali műkritikus,	2
Dr. Elisabeth Kornfeind  az Osztrák Kulturális Fórum igazgatója és Sugár János képzőművész	2
Pataki Gábor művészettörténész	24
Herczeg Tamás,	4
Erőss István festőművész,	2
Joó Irma,	4
Lydia Schouten,	5
PTE Művészeti Kar hallgatói,	2
Thom Kinzel,	2
Jovánovics Tamás	2
Nagy Csaba	2
FORGÁCS Péter,	6
BME – Építészmérnöki Kar: Jug Mátyás,	2
mutargy.com ügyvezetője,	1
Győr alpolgármestere,	2
Lantos Zoltan hegedu es Juhasz Gabor gitar	1
Schuller Vladimir,	2
Congosound DJ (Carles Congost ),	2
művészek,	64
Otto Pankok,	2
ÁLOVITS BÁLINT,	5
Is- Is Randevú,	2
Kulturális Örökség Napjai	2
MAGÁN(Y)GYŰJTEMÉNYEK csoportos kiállítás,	2
BME KÖZÉP tanszék	2
Görög Ferenc Gábor Tatlin,	4
Lovász Irén,	2
Somody Péter,	34
EDI HILA,	1
LOBOT,	2
Nemes Attila (alapító  OS Kantine)	2
Csepeli György	2
Miskolczi Emese,	9
Jindøich ©treit,	1
Gergely Krisztián,	2
Nanda Milbreta (NL),	2
Berecz András,	1
Agnieszka Brzezanska&Fodor János,	2
RÓZSA Luca Sára,	1
Remsei-Kovács Nóra,	4
G.G.,	2
KIS PRUMIK Zoltán,	1
Törő Irén,	2
Pataki János festőművész	2
Olaj,	2
Marina Cara Olteanu,	2
Bálint Cili,	1
Katarina Zdjelar,	2
Drozdik,	1
Ipsics Barbara,	19
Kukorelly Endre  író	1
tranzit. hu	6
Török Ibolya,	10
Karmó Zoltán szobrászművész,	2
Mérő László,	3
Miklós,	2
Galambos Áron,	11
Kaszanitzky Anna,	2
Balaha Tamás,	1
Barabás Zsófi,	33
ÉZSIÁS ISTVÁS,	1
Blaskó Péter,	1
előadás	2
Aline Smithson,	2
Biczó Piroska,	1
Karátson Gábor kiállításán	1
Varacskos koncert  -  D.J. party	1
Elisabeth Wedenig,	2
Makk Károly	2
Oliver Kossack,	5
Monika Szewczyk,	6
Csák Ferenc	2
Dubrovay László	2
Podmaniczky Szilárd	4
Szécsi Noémi,	8
Balilla by Lilla Balázs,	2
ÁCS BÁLINT | FERNEZELYI MÁRTON | KOZMA ÉVA | PETERNÁK MIKLÓS	1
Rainforest	2
Fenczi Emőke,	1
Vassy Erzsébet,	2
Nenad Bogdanovich (YU),	1
Nolasco-Rózsás Lívia	5
a Szolnoki Művészeti Egyesület elnöke	4
Megyik János	4
Tilo Schulz,	10
közepes képzőművész	1
Architecture Uncomfortable Workshop	2
Kulcsár Ágnes,	2
Gábor Éva Mária,	16
Tihanyi Áron	2
Dús László,	8
Kemény Zsuzsa,	2
Bogyay Katalin	2
Tardy-Molnár Anna	2
Angelus Iván,	2
Hopp Ferenc Kelet-Ázsiai Művészeti Múzeum,	1
Haraszty István szobrászművész,	1
Szakács István író,	1
Marianna Gartner,	2
Dominik Lang (CZ),	1
Bikácsi Daniela festőművész és Gálhidy Péter szobrászművész,	2
Ádám Anna,	28
Németh József,	4
Kincses Károly	53
Ari S Kupsus	43
Ambrus Mária,	2
Konstantinos Antonios Guotos,	4
Judith BARTOLANI  Laurence SIGAL and Norbert ENGEL,	2
Cserba Júlia művészeti író	1
megnyitja: Imre Györgyi művészettörténész	1
Baksa Soós János és ungár ágnes*	2
Dénes Ágnes Dóra,	23
Somlyódi Nóra,	2
Peter Cvik,	2
Éhn Gabi,	2
Szabó Eszter Ágnes - Membrán	6
design- és művészetteoretikus	2
Csider István Zoltán,	4
Balla A. Benjamin,	1
Cuhorka Emese,	4
a Vs.hu fotóriportere,	2
Stano Filko,	7
Balassa Júlia,	1
Pintér Sonja,	37
Márk MARTINKÓ,	1
Varga Rita,	15
Kárpáti János Iván	2
András Tünde,	2
Ács László,	2
Sara Zaghetto,	1
Csoóry Tamás,	2
Tamás Gáspár Miklós,	3
Baán László,	4
Herman Seidl,	2
Forgách András	6
RAUM 5,	2
Reto Pfenninger /Oester Pfeninnger Architekten AG/ építész előadása	2
FUSZENECKER Ferenc,	2
Krzysztof Kie¶lowski,	5
ROBITZ Anikó,	1
Eseménysorozat esténként!,	2
Laura Anderson Barbata,	4
Matthew Stokes,	2
dr.Gegesy Ferenc  IX.kerület polgármestere	2
Ciprian Mureşan	4
Kolcsár Zsolt,	1
HAáSZ Ágnes * HERENDI Péter * HORKAY István * KÁNTOR József * KÁROLY-ZÖLD Gyöngyi RO * KECSKÉS Péter * KELECSÉNYI Csilla K* IPP Eva NL i* fj KOFFÁN Károly * KOPPÁNY Attila *,	2
Váczi Eszter Quartet	2
Brindusa Armanca	2
Szabó Áron,	4
Ughy Attila polgármester,	3
Ács Attila,	2
Új Stúdió tagok,	3
Kuroda Mineo,	2
SZŐKE GÁBOR MIKLÓS,	2
BKF	2
Hegedűs Hanna Léna	2
Gecser Lujza / Steiner Villő – Szenes Zsuzsa / Erdély Dániel,	2
Laurian Popa,	2
Bartalus Ildikó...,	2
Wu Chao,	2
Mario Merz,	4
Weronika Kobylińska-Bunsch	2
MINYÓ Szert Károly,	2
Csatlakozó művészek,	4
JAZZ BAND	2
Csanádi-Bognár Szilvia művészettörténész	3
Szemadám György	9
x-Tereskova performansz	2
Losonczy istván,	2
Plágium 200,	2
Ongjerth Dániel,	1
IZSÁK Előd (RO/HU),	2
Juhász Dorina m.v.,	2
Academy of Fine Arts Zagreb,	2
Joanna Rajkowska,	3
Budapesten élő MAMŰ tagok,	2
BARANYAI Levente,	2
Dr Kőnig Frigyes	1
PETRÁNYI ZSOLT	2
Polónyi Istvánnal Pohl Ákos beszélget	2
NDK Zenekar	2
Torma Eva,	1
KÓNYA Béla,	2
Aruna Vasudev,	2
DOMIÁN Gyula,	1
BeatKOHO Akusztik,	2
Turányi Gábor	4
Erdély Perovics Andrea,	3
Dr. Ficzere Ferenc,	2
DLA főiskolai docens	2
Sophie Dodelin	2
Ördögh László,	2
Kumin Mónika	2
Németh Sz. Péter,	4
Giorgio Pressburger	2
Vicsek Tamás professzor	1
Lantos Csnge	2
Balázs Kata művészettörténész	5
Akademija Likovnih Umjetnosti u Zagrebu,	2
Fisches Judit,	2
GÁLL Ádám,	2
Esteban Sanchez,	2
dr. Fabényi Julia,	5
Dobos Sándor fotóművész,	2
Kristof J. Weber,	2
László-Kiss Dezső,	8
Dunaújvárosi diákok,	2
Hollós István,	3
Megyes László Vendel,	2
Krisztóf Lázár,	2
BUDA Gábor,	2
Paul Ekaitz,	2
Margitházi Beja	3
Szabó Franciska,	13
AKA (A. Király András),	1
Lugosi Lugo László	7
Dóra Attila & Ferencz Krisztina,	2
José Heerkens,	3
művészetpedagógus	2
Radványi György	2
Tamás Menyhért	2
Walter Weer (Ausztria),	2
Marosi Miklós,	4
Gálos László,	19
Szandai Sándor,	2
bada dada tibor,	2
KÁROLY- ZÖLD Gyöngyi RO,	2
Jonah Bokaer,	2
Rozmann Viktor,	2
Gaál Ida – a komarnói Duna Menti Múzeum művészettörténésze,	2
Rachael Gorchov,	2
Marosán Gyula,	4
A kiallitast bevezeti Stanislas PIERRET Egyuttmukodesi es kulturalis tanacsos,	1
Feledy Balázs	37
MAGNUM Photos,	1
Nyilas Márta festőművész,	4
Marko Maetämm (EST),	2
a négy művész penformansza	2
Erik Mátrai,	2
Ébli Gábor,	8
Ann Lislegaard,	2
ORBÁN ATTILA,	1
Juhász Anna,	40
Radnainé Dr. Fogarasi Katalin,	2
Anna Júlía Fridb,	2
Réti Pál	2
Á.Tóth József,	2
Kosztyi Klaudia	2
Szőke Gábor Mik,	1
Bajusz Krisztián,	2
Gerőcs Péter író,	2
Joanna Zemanek,	4
ZELLEI Boglárka Éva	6
Pápai Emese művészettörténész	2
Györffy Mikós	2
Zsigmond László,	2
Balla Gabriella,	3
Major György,	2
Kozák Ignác Tibor	4
Szigeti G. Csongor csoportja,	2
Németh Géza festőművész,	2
Kerekes Zoltán	1
Almásy Ottilia,	2
Tóth Norbert,	2
SZTRANYÁK Zsófia,	2
Jegenyés Jusztina,	2
Szegedy- Maszák Zsuzsanna |,	1
Lars Schwander	2
a zsűri tagja,	2
Németh Kriszta	1
Szász Lilla	10
Mark Ther (CZ),	1
Rowena Harris,	2
Més-záros István,	2
Claudio Giacomino	2
Sőrés Zsolt Ahad	4
Lipkovics Péter,	10
David Schnell,	7
ENDLEIN ZSÓFIA,	2
18 óra Timár Katalin,	2
ELŐD ÁGNES,	1
Nel Aerts	2
Petr Stembera,	2
Pauer Emanuel	1
a megnyitó után Flo Kasearuval Hegyi Dóra beszélget	2
Csapek Károly,	2
Tökmag Gruppó,	4
Mélyi József  művészettörténész,	1
Petneházy Dániel,	2
Sós Ildikó,	2
Leopold Rabus,	2
Ryan Schneider,	1
Halász Pálma	2
Gyenes Zsolt,	30
Benkő Lilla,	8
Gitte Villesen,	6
Blue Noses,	4
DLA nap a Laborban,	2
Eperjesi Ágnes	16
Manolis TSAFOS,	2
Ferkai Tamás és Szarvas Gábor,	2
Wincenty Dunikowski Duniko,	1
a TTA zsűri tagja,	2
Kövér Dóra Rea,	2
Arnold,	2
Trent Parke,	2
ILÉS - MUSZKA Rudolf,	4
Telek-Nay Ágnes	5
Dora Attila	1
Júlia Vécsei	2
BODOR Anikó,	7
Rui Calcada Bastos (P),	3
Filó Vera,	2
Beata Filipowicz (PL),	1
Soós Katalin	1
Performance előadások: Bukta I.,	1
Kuti Lász­ló,	2
Fan Lin,	2
Kiss Viktória,	13
ANJ),	2
DÁNIEL András,	2
Florentia IKONOMIDOU Vizuális művész	1
Mothokgo Ronald,	2
Jordi Pallarés (Spanyolo.),	2
Személyes tárlatvezetés	2
Gosztola Kitti,	57
Mircea Alexandru Mogan,	2
Meenu Shreevastava,	2
Szunyoghy Viktória	2
Nemzetközi Független Kortárs Zenei Találkozó	2
Andreas Leikauf,	1
Farzin Foroutan,	1
István,	2
Voytenko Ganna,	2
Ulbert Ádám,	8
Battha Gáspár&Besnyő Dániel	2
Fehér László,	89
a hazai fotográfia legújabb generációja	1
Szilágyi Kinga,	2
Kerékgyártó Kálmán (költő),	2
Wieslawa Wierzchowska,	2
Rédly  Mária,	2
Sólymos Sándor dr. habil	1
Gáll Ádám,	3
Horváth Kálmán,	2
az egyetem megválasztott,	2
Hegyeshalmi László	4
Sebők Zoltán	16
Selmeczi Bea,	2
Ferenczy László,	2
A:AI (Archiv für Architektur und Ingenieurbaukunst NRW,	2
Szabó Imola Julianna	2
Cabaret Band,	2
Sándor László	2
Magyar Ede,	1
Herceg László,	1
Jenei Gyula költő	1
Kudlik Júlia	1
Manfred Mohr,	2
Suhajda Zoltán	2
Jonathan Long (Professor of German and Visual Culture at the University of Durham,	2
Szabó István	2
Meszlényi Karoly,	2
Moni K. HUBER,	1
KASKA,	2
Rúzs,	1
Sejben Lajos,	4
Forgács Zsuzsa,	6
Dr. Al Ghaoui Hesna	2
Bán Zsófia,	10
Horváth Dorka	2
Thorbjésoslash;rn Bechmann,	2
Gerhes Gábor  Kis Varsó,	2
a Petőfi Irodalmi Múzeum főigazgatója	2
Anna-Stina Treumund,	2
Ajpek Orsolya,	3
Dorothee Bienert,	2
Tóth Antal	2
Tomjanovich Katalin,	3
Magyar Szépmíves Társaság	1
SZÉKÁCS ZOLTÁN,	2
Erdély Miklós és még sokan,	2
M. Sholahuddin,	2
GERBER PÁL,	1
Georg Winter,	4
Tóth Laca,	2
Kamper László,	2
Ágoston Vilmos író	1
Horányi Ildikó	2
£ód¼ Kaliska,	2
a Széchenyi Irodalmi és Művészeti Akadémia Miskolci Területi Csoportjának elnöke,	2
Mátyássy Jónás,	2
Ilauszky Tamás képzőművész	2
közreműködik Vázsonyi János	2
Istvánkó Bea	3
Szombathi Bálint	2
Dr. Bartók Béla - Eszterházy Károly Egyetem,	2
Serena Amrein,	1
Bondor Csilla,	44
Michelle Silva,	2
Cseke,	1
DARGAY Lajos,	1
Jakatics - Szabó Veronika,	2
Jaros³aw Suchan,	2
Deák Zsuzsa,	1
Georg Schöllhammer,	4
Nova Gravity (H),	2
Elek Judit Katalin,	19
Fábián László író	2
BAHRAMI Shahla CA,	2
Verebes Gy,	2
Najmányi László theremin-koncertje	2
Farkas Ottó,	2
Yin Aiwen,	2
Bubutímár Éva,	2
Kossuth-díjas és Liszt Ferenc-díjas,	2
Oszter Dezső,	6
Vladan Jeremić,	4
Szalay Lajos,	17
Personal Press Project és a Fiatal Képzőművészek Stúdiója,	2
Bagi Borbála,	2
művészettörténnész	4
Spiritus Noister együttes	1
a megnyitón közreműködik Darvas Ferenc és Oravetz Mária	2
Gabrijel Stupica,	2
Kovács Lehel	4
Keszeg Nánd,	2
Maureen Haldeman,	2
Kovcs Keve,	2
Minimalizmus,	2
Varga_tüske Péter képzőművész,	2
Jean-Guillaume Bastien,	2
FÖLDÉNYI  F. LÁSZLÓ	2
Inigo Navarro,	1
Barbora Zentkova,	1
Holb Margit,	2
Boros Luca,	2
Michal Moravèík (SK),	2
Breznai András,	4
Kocsis Imre,	19
Szombathy Károly,	4
Nagy Zsófia Magdolna,	10
Török Tünde,	3
Rákóczy Gizella (1947–2015)	5
VEREB Tímea,	2
Détári Anna,	1
Méhes László,	13
Kovács Tamás László,	13
Méhes Lóránt Zuzu,	7
Bereczky Loránd  a Magyar Nemzeti Galéria főigazgatója	2
Bordács Andrea esztéta	4
Anne Robertson,	5
OLBRICH O. Jürgen D m.v.,	1
Tóth Marica,	2
Forgács Kristóf,	4
HAÁSZ Kati,	2
Szatmári Judit Anna	2
Szigeti G. Csongor,	18
a festő,	2
2018	1
Csaba Iván,	2
Gnyálin Anita,	2
2016	1
Dr. Sági Mária	2
a PTE rektora	2
Király Judit	2
Maja Fowkes,	4
Kovács Anna,	2
Inger Blix Kvammen,	2
tervezői prezentációk	2
Orsós Bence,	2
Kovach Gergő,	2
elektrográfia szakirány,	2
Tomasz PIARS,	2
polgármester,	2
MKE hallgatók	1
MKE hallgatói	1
Kaposi Dorka,	29
Kiss Pál Szabolcs,	1
Anna-Maria BOGNER,	1
Koronczi,	3
Katja KOLLOWA,	2
Barkóczi István,	4
Josef Daněk & Blahoslav Rozbořil (CZ),	2
Dr. Buhály Attila történész	2
Dr. Fabényi Júlia	1
Horányi Kinga,	4
Szamody Zsolt Olaf,	4
Allen Ginsberg,	2
Csányi Gergely	2
Néray Katalin,	14
21:30 - SHAKAMIVA KISHAWA (Erhardt Miklós és Király András),	2
Gink Sára,	3
Nessim Galéria,	2
Markli,	1
IHANUS Sirpa Hannele,	1
Veress Enéh Erzsébet,	4
Spitzer Fruzsina,	34
SZÍJ KAMILLA,	3
FUCHS Lehel,	2
Borsos,	2
Skonda Mária	2
VÁRNAGY Tibor	2
Foglalási Bizottság / Comité de Réservation és tsai.,	2
Krakow,	2
egyetemi docens	8
Rachel Lowe,	2
Bjorn Molnár  állagmegőrző-művész,	1
The Blue Noses,	2
Choe Kyoo Sik,	1
Perenyei Monika	21
a Magyar Táncművészeti Egyetem hallgatói,	2
Sergey AKRAMOV,	1
SI-LA-GI,	11
Peter Michalovič	2
Róka Enikő,	18
Kozma Károly	2
Szervátiusz Jenő,	2
Kukla Krisztián esztéta	6
Kurátor: Tadeáš Goryczka,	2
Bálint Ádám,	8
Tomá¹ D¾adoò	1
Vajda Lajos Stúdió,	3
Loredana Rancatore,	2
Dušan Otašević (YU-SRB),	2
a "Beszédes Banális anyagot bemutatja Frazon Zsófia,	2
Onur Dinc,	2
efZámbó Happy Dead Band Szabad Formáció	2
Jaros³aw Kozakiewicz,	2
Petrányi Zsolt PhD,	2
dr. Petrányi Zsolt	3
ÁDÁM Zsófia,	2
Erőss István,	31
Cesare Pietroiusti,	2
Kettős Tamás:,	2
MIGUEL MOTHES,	2
Csányi Erzsébet,	2
Heidi Wood,	2
Csáky László és társai,	1
Fritz Haeg előadása	2
Pauline Curnier Jardin,	3
ZILAHI Anna	2
Sam Havadtoy,	10
Jean-Jacques Lebel (F),	2
Polina Kanis,	2
SZILÁGYI TERÉZ,	2
Bassi,	1
Jakatics Szabó Veronika,	2
Bán Krisztián,	2
Paksi Endre Lehel	62
Michael Rakowitz,	6
KIPP Eva  NL,	1
Nógrádiné Kiss Magdolna,	2
Telkes Tímea,	3
Keith Haring	4
Piti Emőke,	1
Kincses Károly fotómuzeológus,	2
Lőrinc Katalin DLA,	2
köszöntőt mond: Tutervai Mátyás,	2
Az Osztrák Kulturális Fórum Budapest programja	1
BARÁTH FÁBIÁN,	2
Leif Erikson,	2
Péterfy Gergely	6
Helena Holmberg,	2
TRANKER Kata	3
Visky András író,	2
Konsztantin Kosztov,	2
Dávid Vera ▪ Lux Antal,	2
Doleschall Dávid,	2
Festő tanszék,	2
Dr. Kroó Norbert,	2
