	8
Art Lover	2
a bécsi Modern Művészeti Múzeum igazgatója	2
Arja Hyytiainen,	4
Paul Schrader: A hitehagyott	2
Botár László,	3
a Rejtett történetek kiállításon	3
Gosztola Kitti – Pálinkás Bence György,	4
Miklós Hanna-Ingrid,	2
Go Hyeongseok,	2
Vlad Morariu	1
Dorcsinecz János,	7
Konopás Judit Emese	1
Gink Miszlivetz Sára,	2
Cseresorozat	2
Sandro Miller	2
Pintér Balázs - szobrászművész,	1
Raver Győző	2
Árva Ilona,	5
Jeney Zoltán - zeneszerző,	1
Miguel Angel Ríos,	2
LITTLE WARSAW: András GÁLIK (H) – Bálint HAVAS (H),	2
Ishem Rouiai (F),	4
MÁTRAI Júlia,	2
Domonkos Attila	2
Bukor Tibor,	2
BABINSZKY CSILLA,	1
Tóth Ridovics Máté,	1
Nampei Akaki,	2
Sass Valéria,	21
ÁBELOVSZKI Róbert •• ÁZBEJ Kristóf •• BAGI László jr. •• BATEMAN Edward USA •• BÁLINT Bertalan •• BÁTAI Sándor •• BENEDEK Jenő ifj. •• BODOR Anikó •• BUTAK András mv. •• CSERNÁTONY Lukács László •• CSÍZY László •• CZEIZEL Balázs •• CZETŐ Beaty ••,	2
Mira Sikorová-Putisová,	2
Páger László,	4
Dj Sztyepp,	2
ZALAVÁRI József,	2
Héctor Falcón,	3
Hegedűs János,	2
Biennále,	2
Mélyi József (Agrikultúra),	2
Yoko Ono	2
miki357	2
Ágoston Béla,	2
Csordás Zoltán	1
Lee Ynza,	1
Barbara Gindlova	2
Sharon Baurley - előadó,	2
Kalas Zsuzsa,	7
Lacroix (F) Severino (I) Cohen (J) Uphoff (USA) Tome (BR) Zenón (E) Mujinga (NL) Ibrahim (Malaysia) stb.,	1
PPP/FKSE,	2
Reinhold Bidner,	2
BORDÁCS Andrea,	2
Pátkai Ervin,	3
Želimir ŽILNIK,	2
FUGGERTH J. Ferenc,	2
Francsics László,	2
Art Generation,	2
Sipos Melinda,	1
Gáthi Kristóf,	2
AMANDA DJ SET	2
Torsten RIDELL,	2
Majoros Áron,	12
Mindaugas Lukosaitis (LT),	2
Pille Epner,	2
KEREKES GÁBOR,	3
mAGYAR kÉPREGÉNY aKADÉMIA,	2
MAURER DÓRA,	3
Jakataics-Szabó Veronika,	2
Zuzana Zurbolová,	4
Bozóki András kulturális miniszter,	1
Liszt Ferenc Zeneművészeti Egyetem hegedűművész hallgatója	2
Csillag Edina	2
Szente Szabó Ákos,	2
Kecskés Orsolya,	11
Csáki László	16
BARTI Magdolna,	6
Boros Lili	20
Bencsik Barnabás  a Ludwig Múzeum igazgatója	2
Tomáš Pospiszyl	2
Anja Theismann,	2
Szabó Eszter Ágnes képzőművész előadása	1
Dömötörné Göttinger Eszter	2
A kiállítást megnyitja: Bálint Imre,	2
Scheiber Hugó,	1
Somorjai Kiss Tibor,	4
Syrbe Andrea (H/A),	1
Szabó ÍÁdám,	2
Raymond Weil,	1
Gerber Márton	1
Mezőföld Természetfotó Egyesület,	1
aktivista,	2
Rutkai Bori énekel	2
Eike	11
Baranyi Gabriella,	2
Székely Ian,	6
Magda Grzybowska,	2
műkritikus),	2
Lendvai Péter Gergely,	2
Kerstin Franke-Gneuss,	4
Chto Delat? / What is To Be Done? (RUS),	2
Tóth Krisztina,	12
Erdősi Anikó,	10
Prékopa Ágnes	1
Koós Gábor	4
Thais Lenkiewitz,	2
Trabant,	2
Marco Bischof,	2
operátor (kébelszerelő)	2
Nemes Nikolett,	11
Mona Vãtãmanu és Florin Tudor,	2
Juhász Kristóf,	2
HETEY Katalin,	2
Király György,	23
igazgató OSA Archívum,	4
Iwanaga Emi,	1
Anca Benera,	4
Klón Zoé szöveg/ Pallavicini Zita,	2
Fehér Anna,	2
Pasi Pauni,	2
