	step0	frequency_original
2984	Szávoszt Katalin	1
2985	Ködmön Richárd	2
2986	Mulasics László,	42
2987	Dolán György,	2
2988	HUGYECSEK Balázs,	3
2989	...Zsankó László,	2
2990	Fekete Valér,	2
2991	iski KOCSIS Tibor,	6
2992	Juhász R. József költő,	2
2993	Eszerházy Marcell,	2
2994	Balázs Barnabás,	2
2995	Kovács Kinga,	4
2996	Laszlo Sarolta,	2
2997	Toni SCHMALE,	2
2998	FÜRJESI Csaba,	3
2999	Kovács Balázs	1
3000	Paul Almásy,	2
3001	Szántói Lilla,	16
3002	FERNEZELYI Márton & KAPPANYOS András & LEPSÉNYI Imre & SZEGEDY-MASZÁK Zoltán,	2
3003	HAJDU István  művészettörténész	2
3004	Németh Dávid,	8
3005	Carlos Aires,	1
3006	Julian Roeder,	2
3007	Koroknai Zsolt DLA,	2
3008	Készman József	80
3009	FKSE-tagok	2
3010	Baán Tibor,	2
3011	Arturas Raila (LT),	3
3012	Aron Baráth,	2
3013	David Burrows...,	2
3014	Kokesch Ádám,	85
3015	Perneczky Géza művészettörténész	2
3016	Madarász Ágnes,	2
3017	Kass János,	10
3018	Repászki  Ferenc ▪ Lévay Jenő,	2
3019	Hegedűs 2 László,	51
3020	Shukri Dániel,	2
3021	Sandra Johnston,	4
3022	Krasznahorkai László	3
3023	MÉLYVÍZ,	2
3024	Haász István	4
3025	Garamvölgyi Gábor,	8
3026	Szarvas Ádám	1
3027	TRANKER Kara,	2
3028	Molnár Edit és Pálfi Judit	3
3029	Katerina ©edá,	1
3030	Birkás Mónika,	2
3031	Mark Martinko,	2
3032	Telegdi Félix,	2
3033	Szegedy-Maszák Zoltán - Langh Róbert &#8,	2
3034	Elekes Áron és Varga Péter,	2
3035	Baráth P. Bálint,	1
3036	Agnes von Uray	4
3037	Szula Zsuzsanna (HU),	2
3038	Mihalovics Éva,	2
3039	BERNÁTH Aurél,	4
3040	Képzőművészeti ösztöndíjasok beszámoló kiállítása,	2
3041	PODMANICZKY Ágnes,	2
3042	Uhl Gabriella művészettörténész	11
3043	Romina Giuliani	2
3044	Maria Assunta Accili,	2
3045	Paksi Endre Lehel	62
3046	Baksa-Soós János (szenior díjazott),	2
3047	Ágas Zoltán,	2
3048	Borsos Lőrinc Lilla,	4
3049	Nyitott Műtermek Délutánja	2
3050	"""Kismező  Nagymező,"	2
3051	Molnár László Simon,	2
3052	Sipos Lilla Judit,	2
3053	Bobics Diana,	2
3054	Klaus Weber,	2
3055	Bereczky Loránd az MNG főigazgatója	2
3056	Mekis D. János	2
3057	Papp Norbert,	4
3058	Ciprian Mureşan	4
3059	Dömölky Dániel,	4
3060	Hervé,	2
3061	Mikko Kuorinki,	2
3062	Altorjai Sándor  Bak Imre,	2
3063	Dr. Ungváry Krisztián,	2
3064	Jörg Schwarzenberger,	2
3065	Szüts Miklós,	17
3066	Pilaszanovich Irén	2
3067	Szabó Tamara	2
3068	Ábris Gryllus,	2
3069	Kurtág György műveit előadja: Kéringer László – ének,	1
3070	Raša Todosijević	1
3071	Krisztina Rozanich,	2
3072	Fenyvesi Áron művészettörténész  illetve Kukorelly Endre író	2
3073	Helga Philipp,	3
3074	a Figyelő képszerkesztője,	2
3075	BLOCK CSOPORT,	1
3076	Botos Tamás,	2
3077	Cságoly Ferenc,	6
3078	Hajtmanszki Zoltán,	2
3079	Tomay Katalin,	2
3080	Arek Ignaszak,	2
3081	Bardon Barnabés,	2
3082	Deák-Takács Szilvia,	2
3083	Oltai Kata  művészettörténész,	1
3084	Ann Reder,	2
3085	German Kinga művészettörténész,	2
3086	Nyári Flóra,	4
3087	Dr. Turai G. Kamil	1
3088	Emberi Erőforrások Minisztériuma	2
3089	Zuzana Barto¹ová	1
3090	Laurian Popa,	2
3091	Kozák Csaba művészeti író	18
3092	Csiki Csaba	2
3093	Huszti János,	7
3094	budapesti építészek	2
3095	Pika,	4
3096	Gyalai István,	1
3097	Both Eszter,	2
3098	Rohmann Ditta gordonkaművész	2
3099	Sebastian Weissenbacher	1
3100	Agnieszka Kowalska,	1
3101	Harm Lux	2
3102	TAKÁCS Szilvia,	5
3103	Friedrich Kiesler,	2
3104	Ifj. Koffán Károly,	2
3105	Suresh Sharma,	2
3106	a kiállítás kurátora és producere,	2
3107	Dörögdi Orsolya,	2
3108	MADELINE STILLWELL	2
3109	Jakub Černý,	2
3110	Kim Boulukos,	2
3111	Székely Ágota	2
3112	Raffai Réka,	6
3113	Gábor Anna	2
3114	BAK IMRE	4
3115	Esteban Sanchez,	2
3116	Novák István ( Sumi),	2
3117	Szita Barnabás képzőművész,	2
3118	Mucsi Mesi,	4
3119	Orbis Zeneműhely	2
3120	Gaudens Pedit Galéria (A),	2
3121	Ami Barak kurátor,	2
3122	Murányi Mózes Márton,	21
3123	Bődey János fotográfus,	2
3124	Kovács Mári,	2
3125	Zakariás István	13
3126	MOLNÁR MELINDA,	1
3127	- Szépfalvi Ágnes - Szilágyi Kornél - Vándor Csaba - Várnagy Tibor - Várnai Gyula,	2
3128	Előd Ágnes,	43
3129	Isabel VAL	2
3130	Marco Scotini,	2
3131	Eine,	2
3132	Pedro Varela,	3
3133	Csengery Katalin,	2
3134	flow deco,	2
3135	Balázs Mariann,	9
3136	Imitátorok (Mister Lonely)	1
3137	Rozsda Endre,	29
3138	Czobor Sándor,	2
3139	Janiga Lívia - Litványi János,	2
3140	Alba Romano Pace  történész,	2
3141	Ingo Bechmann (GER),	2
3142	Ferenczy Zsolt,	40
3143	BIESS Katalin,	4
3144	Alexander Brener-Barbara Schurz,	2
3145	Gauder Áron,	2
3146	Csáki Róbert	2
3147	Mihályfi Iván,	2
3148	Volkan Mengi,	4
3149	Kissoál Szabolcs,	2
3150	Tölgyesi Katalin,	2
3151	Bálványos Levente,	42
3152	Szerdahelyi Tibor	1
3153	Galambos Eszter,	3
3154	CSIZIK Balázs,	3
3155	Fodor Orsi,	1
3156	Fitz Péter művészettörténész,	2
3157	Peternák Miklós előadása	2
3158	SZILÁGYI Róza Tekla,	2
3159	Akademia Sztuk Piêknych im. Jana Matejki w Krakowie,	2
3160	horgász	1
3161	A kiállítást rendezte: Albert Ádám és Horányi Attila,	2
3162	Szabó Maya,	1
3163	Lisa Prior,	2
3164	SULYOK MIKLÓS  művészettörténész	2
3165	játéktörténész	4
3166	genderkutató),	2
3167	Ikezewa Takashi,	1
3168	Keresztessy Zoltán Péter,	2
3169	Raphaël Grisey képzőművész vetítése,	1
3170	L. Tkáèová-A. M. Chisa,	1
3171	Sz. Szilágyi Gábor művészettörténész,	3
3172	Can,	1
3173	Linke,	1
3174	Andreas Leikauf,	1
3175	a kiállítás kurátora	27
3176	Bezsenyi Tamás kriminológus,	1
3177	Szalay Maya,	2
3178	Dér Adrienn,	13
3179	Bánffi Brigitta,	2
3180	Bojti András,	3
3181	Éliás István,	20
3182	Magyar feltalálok,	1
3183	PatakiGábor,	1
3184	JENEI BARNA MÁRTON,	2
3185	ISMAIL KHAYAT,	2
3186	Meghívott kiállítók,	2
3187	Bartina Néptánc Egyesület	2
3188	Litván Gábor hangversenye,	2
3189	Szalai Bori	1
3190	Artur Garabowski,	2
3191	Tóth Eszter Adél,	2
3192	Universitat Essen,	1
3193	Dóró Sándor,	12
3194	Pócs Judit,	1
3195	Lénárt András,	2
3196	Kontor Enikő,	2
3197	Monika Merva és Szász Lilla,	1
3198	Miltényi Tibor,	4
3199	Ravasz,	1
3200	Serban Savu,	2
3201	Alföldi Róbert	16
3202	Papp Zsuzsanna,	2
3203	Szabó Norbert	1
3204	Liu Nian USA/CH,	2
3205	Kapitány András: Parazita,	1
3206	Csizmadia Tibor,	2
3207	Csillag Pál,	2
3208	Iveta Černá,	2
3209	Skaliczki Judit	2
3210	Lawrence Weine	2
3211	Krizbai Alex,	4
3212	Rajcsányi Gellért  1981-es évjáratú újságíró,	2
3213	Hegyi Lórand	2
3214	Féner Tamás,	15
3215	Jenny Ashley,	2
3216	Mark Anna,	2
3217	Bp. VII. Damjanich u. 39,	1
3218	Rózsás Lívia,	11
3219	Kondor Attila,	32
3220	Lukac Patrik,	2
3221	A.P.A. Galéria	2
3222	Sigmar Polke,	1
3223	FSB designer kilincsek,	2
3224	KOVÁCH GERGŐ,	3
3225	Katalizátor	2
3226	Ganxta Döglégy Zolee	2
3227	Kincses Károly	53
3228	a Fővárosi Képtár vezetője,	2
3229	Raatzsch Jenő André	2
3230	Szabó György,	25
3231	Alexander Schikowski,	11
3232	Herczeg Eszter,	3
3233	Kovács Ágota Júlia,	2
3234	Kotormán László szobrászművész és barátai,	2
3235	Szabó Roland festőművész,	3
3236	Adéla BABANOVÁ,	10
3237	Nikita Shalenny,	2
3238	Szijj Ferenc,	4
3239	Carl MAGNUS (S),	4
3240	Kamen Stoyanov,	18
3241	Anna Toth,	2
3242	Bándy György,	2
3243	filozófus	10
3244	Vágvölgyi András,	2
3245	Zsávolya Zoltán	2
3246	Tánczos Tibor,	4
3247	Ninni Wager,	8
3248	HEGEDŰS 2 László,	3
3249	Ingrid Geretschlaeger,	2
3250	A Quaartsiluni Ensemble estje,	2
3251	Balázs János kiállításán	2
3252	a FORMER WEST szerkesztői,	2
3253	Ludwig Múzeum - Kortárs Művészeti Múzeum,	2
3254	BANI ABIDI | ADÉLA BABANOVÁ | ANCA BENERA ÉS ARNOLD ESTEFÁN | IEVA EPNERE | ESTERHÁZY MARCELL | GEIBL KATA | MYKOLA RIDNYI | AYKAN SAFOĞLU | TEHNICA SCHWEIZ	2
3255	IM2000 mesterséges szobainas	2
3256	Pokorny Attila,	6
3257	Mohau MODISAKENG képzőművész (Dél-Afrika)	2
3258	Raffay Endre,	2
3259	Mahr Mari  és Bányay Péter fotókiállítása,	1
3260	Karacs Andrea,	2
3261	Bullás József festőművész,	2
3262	Regina Zachhalmen,	2
3263	Arnold Skolnick,	1
3264	Hegedűs Endre,	2
3265	Orosz Klára,	17
3266	és meghívott vendégeik,	2
3267	Gyenes Gábor,	1
3268	Bulcsu Tamás,	2
3269	Frank Piasta,	2
3270	Rosa Barbra,	2
3271	Gellér Judit kurátor	1
3272	Beszedes Noemi,	2
3273	Irina Botea {RO},	2
3274	Keck Mária,	2
3275	Mátrai Péter zenei performansza	1
3276	Süvecz Emese kurátor  tranzit.hu	2
3277	Garam Gergő,	2
3278	Láthatatlan filmek klubja,	2
3279	KISS Imre,	2
3280	Frazon Zsófia és Kemény György	2
3281	Rafa³ Jakubowicz,	2
3282	Avar Ákos orientalista	1
3283	Benoit Decron,	2
3284	Szolnoki József filmrendező,	2
3285	Aleksandra Tubielewicz,	1
3286	Miroslav Lazendić,	2
3287	Keleti Máté,	2
3288	Papp Ildikó,	4
3289	új rektora,	2
3290	Nádas Alexandra,	33
3291	Csáki Tamás,	2
3292	Bodonyi Csaba DLA - Ybl-díjas építész	2
3293	Both András színész,	2
3294	Szabó Judit,	2
3295	Niklai Judit,	10
3296	Sasvári Edit,	50
3297	Veres Bálint	8
3298	EPERJESI Ágnes,	5
3299	No Signal Blue,	2
3300	Heba Amin,	2
3301	Caroline Douglas,	4
3302	Barcsay Terem/MKE,	2
3303	Palotai János,	2
3304	Létai Gábor,	1
3305	Orosz Márton,	5
3306	Ko­vács Lehel,	2
3307	Volodymyr Kuznetsov,	6
3308	Kántor Ágnes	2
3309	Random Routine (Kristóf Krisztián),	2
3310	Berkó Ferenc,	2
3311	Szabó Róbert Csaba	2
3312	Forrai Ferenc,	2
3313	Nem’s Judith,	2
3314	Petar Ćuković,	4
3315	Fukui Akira,	4
3316	Prakfalvi Endre	2
3317	Az Enciklopédia Kiadó könyvbemutatója,	2
3318	Magdalena Zeisel,	2
3319	KÁROLY-ZÖLD Gyöngyi,	2
3320	Rippl-Rónai József	2
3321	Pataki Ferenc,	5
3322	Jana Tartaľová,	2
3323	Rigó Mária hagyományos filmkészítés kurzusa,	2
3324	R.E.P. (Kijev),	2
3325	Baksa-Soós Veronika	6
3326	Szlameniczky Zita Éva,	2
3327	Szigeti Gábor Csongor	3
3328	Paolo Bottari – LIVORNO,	2
3329	tanulmányi kiállítás,	2
3330	David Mo¾ný (CZ),	4
3331	JOVÁNOVICS Tamás,	5
3332	Tóth Orsi,	2
3333	Albert Ádám  Antal Balázs,	2
3334	Előadó: Gelencsér Gábor	2
3335	műítész	2
3336	Győri Blanka	2
3337	moderátor: Krizsó Szilvia	2
3338	18 Artcamp,	2
3339	BEATLES együttes (felvételr&otilde;l)	1
3340	Zoltan Solomon LIVE	2
3341	Bianca REGL (A),	2
3342	Robert Vano	2
3343	Somogyi Hajnalka  művészettörténész	2
3344	Konrád Kaszás,	2
3345	Faludi Róbert,	4
3346	KASZÁS Tamás,	2
3347	Soybot,	2
3348	a budapesti Francia Intézet igazgatója,	2
3349	Tenke István,	3
3350	somhegyi zoltán	2
3351	Hargita-Metzler Dornia,	2
3352	Horváth Éva Mónika,	16
3353	Rácz Zoltán építész,	2
3354	Sípos Mihály,	1
3355	Szalay András előadása	2
3356	Csató Kata,	2
3357	Lakatos Norbert,	2
3358	Niran Judit,	3
3359	BOLÍVAR (ROU-F),	4
3360	Jeff Taylor,	2
3361	Ana Manso,	2
3362	Czimra Gyula,	4
3363	Trenka Csaba Gábor	2
3364	András J. Bálity	2
3365	Barakonyi Szabolcs fotóművész,	1
3366	Néray Katalin,	14
3367	Yuriy Gurzhy	2
3368	Ferinothof,	2
3369	Sugár Gyula (1921-1991),	2
3370	Buda Ferenc,	2
3371	Gyenis Tibor,	68
3372	Mobil könyvtár	2
3373	Hadik András	2
3374	Geert De Mot,	1
3375	Jóry Judit művészettörténész	2
3376	Barakonyi Szabolcs,	28
3377	SOMODY Péter	1
3378	Fodor Tibor,	2
3379	Timár Katalin művészettörténész	2
3380	Daniel Knorr (RO/DE),	2
3381	Pécsi és Pécshez kötődő szobrászművészek,	2
3382	Műcsarnok és Videospace szervezésében,	4
3383	XVIII. Art Camp Művészeti Szimpózium,	2
3384	esztéta,	9
3385	Lévai Tamás,	2
3386	Réber László,	1
3387	Mozdulatkórus,	2
3388	Katarina ©evic	2
3389	Zsiray-Rummer Zoltán	2
3390	Baró­thy Anna,	2
3391	a Lengyel Köztársaság magyarországi nagykövete	2
3392	Barbara Gutmann,	1
3393	Liget 30	1
3394	Robert Konieczny + KWK Promes,	2
3395	Méhes Csaba,	2
3396	közreműködik: Gábor-Nagy Nóra zongoraművész	1
3397	SUNAGAWA Haruhiko,	2
3398	Konkoly Gyula 68–78 c. kiállításán	2
3399	Szily Géza,	2
3400	parliamentarian	2
3401	Vladimir Dubosarskii és Alexander Vinogradov projektje	2
3402	Kim Leigh Pontin,	2
3403	Horváth Lóczy Judit,	1
3404	Ayelet Hashachar Cohen,	2
3405	S. Nagy Katalin,	8
3406	Csiszár Mátyás	5
3407	kecskés péter,	2
3408	Kotun V. L.,	2
3409	BOROS Lőrinc,	2
3410	Andreas MÜLLER-POHLE,	2
3411	Dr. Keserű Katalin,	2
3412	Ada Buonocore,	1
3413	Babarczy Eszter (publicista),	1
3414	Nicolas Bourriaud,	2
3415	Kitta,	2
3416	dr. Fabényi Júlia	4
3417	Miyuki Kido,	4
3418	Zoltán Mária Flóra,	6
3419	Gyarmati Béla,	2
3420	Eric Andersen bemutatója és előadása	1
3421	Baglyas Gyuri és Domján Manó a Beyond Budapest c. projekt prezentációjával	1
3422	Beaty Czető,	16
3423	Hubb,	2
3424	Thomas Schoenberger	2
3425	Bak Imre (HU),	2
3426	Gábor Éva Mária szobrászművész,	2
3427	Hámos Gusztáv	2
3428	Márki Zsuzsi,	2
3429	Halas István fotóművész,	2
3430	Bodonyi Csaba építész,	2
3431	Mihail ROZANOV,	2
3432	Mélyi József művészettörténész	29
3433	Reczetár Ágnes,	8
3434	DJ Palotai / Yonderboi	1
3435	Guy de Malherbe,	2
3436	SZAXON Szász János,	2
3437	Art Camp,	2
3438	a Magyar Sportmúzeum igazgatója	2
3439	Földi Gergely - gitár	1
3440	Sebestyén Sára,	7
3441	Seminar No.2 - ART AND DOCUMENTARY,	2
3442	finn parlamenti képviselő,	2
3443	Isaac Monté,	4
3444	Andreas Werner	1
3445	Üveges Mónika,	14
3446	Peter Ogi (ex Spions)	2
3447	Pataki Judit,	2
3448	Csatlós Judit	26
3449	Kmety Gy. 26/28.,	2
3450	Frauke Boggasch  Yves Bresson,	1
3451	Shirin Neshat,	11
3452	Szenecsár Anita,	2
3453	Mediations Biennial,	2
3454	Bucsi Árpád,	16
3455	Sármány-Parsons Ilona,	2
3456	Regős Anna,	14
3457	Miroslav Polách,	2
3458	Pavel Pepperstein (RU),	2
3459	Gaat Andras,	2
3460	Mladen Stilinoviæ,	9
3461	Alice Rubbini	2
3462	ZEMAN Zoltán,	2
3463	Beszélgetőpartnerek: Gerő András és Granasztói György történész,	2
3464	Szabolcs KissPál,	2
3465	Pardi Géza,	2
3466	Kovács Kristóf Mihály,	6
3467	Katarina,	1
3468	Szabó Istvánné Oktatási és Kulturális Ügyosztályvezető,	2
3469	Gryllus Dorka,	2
3470	Szabó Attila,	32
3471	Csanády Pál,	2
3472	Ultrabianka,	2
3473	Horváth Ildikó textilművész,	1
3474	KASZA Gábor,	2
3475	Jaroslav Kyša	2
3476	Kis gesztusok,	2
3477	Helena Musilová,	1
3478	Kristo Papic,	2
3479	Tatai Erzsébet előadása	2
3480	Kerekasztalbeszélgetés és könyvbemutató,	1
3481	kiállítás-világítás: Baktai Gábor,	1
3482	Tüdős Panka,	2
3483	Antalaci,	3
3484	Kigyós Fruzsina	7
3485	Kurátor: Margl Ferenc,	2
3486	A Debreceni Egyetem Építészmérnöki Karának hallgatói,	1
3487	az Artmagazin szerkesztője,	2
3488	Boulevard és Brezsnyev Galéria,	2
3489	Aleksandar Denic,	1
3490	Scott Draves,	2
3491	MÉNESI Luca,	2
3492	+El Kazovszkij,	2
3493	Szabó Réka	1
3494	Balogh Rudolf-díjas fotóművész,	1
3495	Gelsenkirchen),	2
3496	András Edit,	14
3497	Tilo Baumgärtel,	7
3498	Tóth Zsolt,	1
3499	Herman Levente  Horváth Krisztián,	3
3500	28 EDE,	1
3501	Kontur Balázs	1
3502	Szamódy Zsolt	3
3503	BASCH Andor,	2
3504	Uta Heinecke,	18
3505	Klaniczay Gábor történész,	2
3506	Pallagi Ferenc  újságíró	2
3507	Solymos Sándor,	2
3508	+ büfé,	2
3509	Veronika Witte,	1
3510	Böhler Nóra,	2
3511	Tóth Gábor (Unintelligent Art Association,	2
3512	Hevesi Anna	1
3513	Vécsi Nagy Zoltán művészettörténész	4
3514	Oltai Kata	46
3515	Cynthia Young,	4
3516	ANTAL Malvina,	9
3517	Pataky Klári,	2
3518	Deák Csillag művészeti író	2
3519	Bogdándy Gábor,	1
3520	Shreyas Karle,	2
3521	Miklos Onucs,	1
3522	Makány Márta,	2
3523	Françoise Gilot,	23
3524	Pavel Bra,	2
3525	Nyilas Kál,	2
3526	Lukács József,	2
3527	kokesch ádám,	2
3528	Lee Friedlander,	2
3529	Sz. Szilágyi Gábor	4
3530	Tábori András,	21
3531	Bogdan RAÞA (RO),	2
3532	Január Herceg,	4
3533	Fernando Sánchez Castillo,	2
3534	Aurore Aulong,	1
3535	Boldogh Dezső,	2
3536	Közreműködik: United Gods (Kecskés Péter  Miklós Péter,	2
3537	Mikulán Dávid,	5
3538	Páll Tomi,	2
3539	CIC Csoport	1
3540	Jonas Mekas	2
3541	Árva Ilona,	5
3542	Manfred Fath professzor	2
3543	Birkás Ákos,	56
3544	Anna Martiashvili,	2
3545	Naomi Devil,	13
3546	Nemes Judit,	3
3547	Salló István	1
3548	Ukráina,	2
3549	Szarvas Márton	10
3550	Vécsei Júlia	11
3551	Kondor Attila	4
3552	Zala-Szabó Diana művészettörténész	1
3553	Masaki Fujihata / Kiyoshi Furukawa / Wolfgang Münch,	1
3554	Márcio-André	2
3555	egyetemi docens (MOME). Molnár Zoltán,	1
3556	Swierkiewicz Róbert és Szücs Attila,	1
3557	Hitka Viktória,	9
3558	SÁNTHA András,	2
3559	Horváth Gábor	1
3560	Kállai Kata Eszter,	2
3561	újítók és képzőművészek,	1
3562	Sturcz János PhD,	2
3563	MANAfest,	1
3564	Aslee Male,	2
3565	ELSŐ MAGYAR LÁTVÁNYTÁR KIÁLLÍTÁSA,	2
3566	Juhászné Szepesi Beatrix	2
3567	Verebics Ágnes  és Péterfy Ábel,	1
3568	Anthea Buys	2
3569	Fujiwara Kazuko,	2
3570	Káldi Katalin,	20
3571	Heidrun Holzfeind,	2
3572	Marina Abramoviæ	1
3573	Budapest Főváros XVIII. kerület Pestszentlőrinc-Pestszentimre alpolgármestere,	5
3574	Dominique Anne Schuetz,	1
3575	Kovács Tamás Vilmos,	5
3576	professor emeritus,	1
3577	Shir Lieberman,	4
3578	BÉKÉSI Ervin	2
3579	bánki ákos	2
3580	Erős Apolka,	4
3581	Attawit Sotyom,	2
3582	Csernus Tibor,	37
3583	Moderator: Szabics Agnes (kepzomuvesz),	2
3584	Cindy Sherman,	16
3585	Bagdány Franciska,	2
3586	A pályázat nyertesei,	2
3587	"e ""rendellenes felület"","	1
3588	József Attila Kör elnöksége,	2
3589	MAMA photobooks,	2
3590	Számos művész	1
3591	Somogyi Zsófia,	27
3592	Szolnoki Szabolcs	4
3593	KÁROLY-ZÖLD Gyöngyi RO,	2
3594	Ambrus Bori,	2
3595	Je suis belle,	2
3596	Szabó Eszter Ágnes és Ilauszky Tamás,	1
3597	Alexine Chanel,	2
3598	Nagy István,	10
3599	Szőcs Géza költő	2
3600	Kovács Tímea,	1
3601	TZENG Yong-Ning,	2
3602	Sinkó István művészeti író	2
3603	Kocsis Gáspár,	2
3604	Hajdu Szabolcs rendező	2
3605	Jószay Zsolt,	7
3606	Szabados György	1
3607	ORSZÁG László,	6
3608	Marie-Eve Levasseur,	2
3609	Sz. Tóth Judit	1
3610	Ko,	2
3611	Simon Márton,	6
3612	HEGYI BÉLA,	2
3613	Banga Ferenc...,	1
3614	Maurizio Pellegrin,	2
3615	Christian Stahl,	2
3616	RAUM 5,	2
3617	Hafenscher Károly	2
3618	Olajos György ▪  Szirmay Zsanett,	2
3619	AGGTELEK (SP),	2
3620	Kelemen Marcell,	1
3621	Julien Prévieux,	4
3622	Rob Johannesma,	2
3623	Jahangir Matboo,	2
3624	Szalay Zoltán Táncsics- és Pulitzer-díjas fotóriporter,	2
3625	Köves Éva festőművész	1
3626	Petca Ovidiu,	1
3627	Blaskó János,	1
3628	Arányi Nóra,	2
3629	Szinyova Gergő,	45
3630	Nagy Péter András,	2
3631	Műértő-beszélgetés a Ráday folyóirat fesztiválon,	2
3632	Kerekes,	2
3633	Wächter Dénes	4
3634	Hü,	1
3635	Csáky Marianne	9
3636	MEDNYÁNSZKY László,	2
3637	Anna Marg,	2
3638	Mészáros Márta	2
3639	Cs. Nagy,	1
3640	habil tanszékvezető,	2
3641	Ferenczi Róbert és#8224;,	2
3642	Juhász Rokkó	2
3643	Gergye Krisztián	6
3644	Morger-Degelo-Kerez,	1
3645	Philip Heylen,	1
3646	Kocsis Krisztina,	2
3647	Frank O. Gehry,	2
3648	Feles Máté	2
3649	Rákossy Anna,	2
3650	teológus,	4
3651	Patricia Bandeíra,	2
3652	Dj Szél,	2
3653	Osama ZATAR,	2
3654	Pawel Romanczuk	2
3655	Márffy Sebestyén,	2
3656	Lázár Eszter	6
3657	Alexandra Lunn	2
3658	Csordás Dorka,	4
3659	LAND 3C,	2
3660	Artner Sisso,	2
3661	Klenyánszki Csilla	6
3662	Biró Eszter fotográfus,	2
3663	Tellervo Kalleinen & Oliver Kochta-Kalleinen,	2
3664	TAMÁS,	1
3665	Hanaui ezüst	1
3666	Aatoth Franyo & Karácsonyi Szalon,	1
3667	Zsemlye Ildikó,	32
3668	Dr. Andreas Ludwig	1
3669	Grencsó István és barátai,	2
3670	Bartha Márk,	4
3671	DJ KOD	2
3672	Víg Mihály,	2
3673	Kossuth-díjas fotográfus,	4
3674	Clint Eastwood: Fennsíkok csavargója	1
3675	Dr Beke László	3
3676	Ben G. Fodor,	1
3677	Héctor Falcón,	3
3678	Boros Lili művészettörténész	1
3679	BALÁZS József Tamás (BAJÓTA) (RO/HU),	2
3680	a Szépművészeti Múzeum főigazgatója	1
3681	Babos Pálma,	1
3682	Filp Csaba	2
3683	Judith Varnai Shorer,	2
3684	BLAHA TAMÁS,	2
3685	MADÁCSY István,	2
3686	Vollmuth Krisztián,	2
3687	Rui Hu,	4
3688	ZAGAR,	2
3689	Jiøí Surùvka,	2
3690	Dimic Goran,	2
3691	Felföldi Lídia,	2
3692	Juhász Kata Társulat,	2
3693	Kotormán Norbert,	31
3694	Yogyakartai Képzőművészeti Egyetem diákjai	2
3695	Németh Hajnal és Pál Zsuzsanna Rebeka kiállítása	1
3696	Baksai,	1
3697	BOROS VIOLA,	1
3698	Maria B. Raunio,	8
3699	Verebics Kata,	2
3700	Vajda Éva,	2
3701	Tomislav Gotovac	2
3702	Erdész László,	12
3703	Fekete István	2
3704	KISS ADRIAN,	5
3705	KÁLLAI András,	8
3706	Pavel Toplak	2
3707	Radnóti Sándor esztéta,	2
3708	Simon Vera	4
3709	Raša Todosijević,	5
3710	Frank J. Malina,	4
3711	Kóti Katalin,	1
3712	Kovács Margit,	2
3713	Tammam Azzam,	1
3714	Archives Simon Hantai,	2
3715	Balogh Emese,	2
3716	Ivan Ladislav Galeta (HR),	2
3717	NYÍRI Barbara,	2
3718	ELEKES KÁROLY,	2
3719	Lévai Ádám grafikusművész,	1
3720	Gajda Barnabás,	2
3721	Becskei Andor,	3
3722	J. Nagy András,	4
3723	Márton László,	3
3724	Dr. Csorba László,	2
3725	Dr. Dobrik István művészettörténész	2
3726	Hollingsworth(UK),	2
3727	Krakow,	2
3728	Alapfy László...,	2
3729	Madácsy István képzőművész,	1
3730	Fiatalok Fotóművészeti Stúdiója	4
3731	Olasz Designerek,	2
3732	AFK (Antifasiszta Fiatalok Közössége),	2
3733	Hangyel Orsolya,	6
3734	Ferenczy Zsolt képzőművész,	3
3735	gazdasági vezető,	2
3736	Dr. Fabényi Júlia	1
3737	A könyvet bemutatja: Schneller István	1
3738	Aknai Katalin	30
3739	HAJAS Tibor,	2
3740	Emil Abboud,	3
3741	lengyel,	7
3742	Németh Ilona,	35
3743	Platonov,	2
3744	Oelschlager-Őry Lajos,	2
3745	Magyar Elektrográfiai Társaság (MET),	1
3746	Bodnár László,	10
3747	Csáji Attila	10
3748	Zsolczai Balázs,	2
3749	Templomtér,	2
3750	Stark Attila	3
3751	Mélyi József  művészettörténész	5
3752	Rita ERNST,	2
3753	M,	1
3754	NYIRI Barbara,	2
3755	Július Gyula	2
3756	művészeti piac,	2
3757	Magdalena Radomska	2
3758	ZOMBORI Mónika,	1
3759	Takács Péter,	2
3760	Xaviera Simmons (USA),	2
3761	MOLNÁR Vera,	4
3762	Áfra János,	4
3763	Li Geng (CHN),	2
3764	Pusztaszeri Katalin,	5
3765	Fromm Balázs,	2
3766	Babette Klein,	2
3767	Varga Domonkos,	4
3768	CZIBÓK PÉTER,	2
3769	Bardon Barnabás,	4
3770	Ivan Havlice,	2
3771	BLOCK-CSOPORT,	2
3772	Munkacsoport.net,	2
3773	Zsohár Zsuzsanna	2
3774	Bálint Anna,	1
3775	Góbi Rita,	6
3776	Luis Nobre,	2
3777	Sípos János,	2
3778	Erica Scourti,	2
3779	Séra Hanga	1
3780	Genia Kikodze és Gulya Lussikova	2
3781	Sternberrg Szilvia,	2
3782	összeállítás 1997 és 2000 között Németországban készült médiaművészeti munkákból,	1
3783	Görög Ferenc Gábor,	1
3784	Gilbert & George	2
3785	SZABÓ Kristóf	1
3786	Milada Slizinska	2
