	step5	step6
0	Die Planung	die planung
1	Die Planung	die planung
2	Kismező Nagymező	kismezo nagymezo
3	Kismező Nagymező	kismezo nagymezo
4	Out Time	out time
5	Out Time	out time
6	Utópia disztópiapályázat	utopia disztopiapalyazat
7	Németh László keramikus	nemeth laszlo keramikus
8	Király Levente	kiraly levente
9	Galéria Társaság	galeria tarsasag
10	Én Ének	en enek
11	Fekete Zoltán videoinstallációja	fekete zoltan videoinstallacioja
12	Fekete Zoltán videoinstallációja	fekete zoltan videoinstallacioja
13	&Aringsa Sonjasdottír	&aringsa sonjasdottir
14	&Aringsa Sonjasdottír	&aringsa sonjasdottir
15	Gróf Ferenc	grof ferenc
16	Gróf Ferenc	grof ferenc
17	Sajnos Gegely	sajnos gegely
18	Sajnos Gegely	sajnos gegely
19	An Chiin	an chiin
20	An Chiin	an chiin
21	Fodor János	fodor janos
22	Fodor János	fodor janos
23	Fodor János	fodor janos
24	Fodor János	fodor janos
25	KZs ölma	kzs olma
26	Válogatás Zimányi László	valogatas zimanyi laszlo
27	Válogatás Zimányi László	valogatas zimanyi laszlo
28	El Kazovszkij	el kazovszkij
29	El Kazovszkij	el kazovszkij
30	Janáky István	janaky istvan
31	Janáky István	janaky istvan
32	Simsay Ildikó	simsay ildiko
33	Simsay Ildikó	simsay ildiko
34	Szépfalvi Ágnes	szepfalvi agnes
35	Szilágyi Kornél	szilagyi kornel
36	Vándor Csaba	vandor csaba
37	Várnagy Tibor	varnagy tibor
38	Várnai Gyula	varnai gyula
39	Szépfalvi Ágnes	szepfalvi agnes
40	Szilágyi Kornél	szilagyi kornel
41	Vándor Csaba	vandor csaba
42	Várnagy Tibor	varnagy tibor
43	Várnai Gyula	varnai gyula
44	Vasil Artamonov	vasil artamonov
45	Alexey Klyuykov	alexey klyuykov
46	Adam Nankervis	adam nankervis
47	Adam Nankervis	adam nankervis
48	Bodó Viktor	bodo viktor
49	Bordács Andrea	bordacs andrea
50	Bordács Andrea	bordacs andrea
51	Haris László	haris laszlo
52	Kincses Károly fotótörténész szerzőről	kincses karoly fototortenesz szerzorol
53	Haris László	haris laszlo
54	Kincses Károly fotótörténész szerzőről	kincses karoly fototortenesz szerzorol
55	Hudra Klára	hudra klara
56	Hudra Klára	hudra klara
57	Ilona Keserü Ilona	ilona keseru ilona
58	Katkó Tamás	katko tamas
59	Katkó Tamás	katko tamas
60	Müllner András	mullner andras
61	Müllner András	mullner andras
62	SzkripkaJávorszky Anasztázia	szkripkajavorszky anasztazia
63	SzkripkaJávorszky Anasztázia	szkripkajavorszky anasztazia
64	Zsemlye Ildikó	zsemlye ildiko
65	Zsemlye Ildikó	zsemlye ildiko
66	Zilinszky József	zilinszky jozsef
67	Zilinszky József	zilinszky jozsef
68	Zsankó László	zsanko laszlo
69	Zsankó László	zsanko laszlo
70	efZámbó István	efzambo istvan
71	Varga Csaba	varga csaba
72	Mike Nylons	mike nylons
73	Mike Nylons	mike nylons
74	mezogazdász közremuködésével	mezogazdasz kozremukodesevel
75	mezogazdász közremuködésével	mezogazdasz kozremukodesevel
76	Julien Saglio Leveskomozicio	julien saglio leveskomozicio
77	Julien Saglio Leveskomozicio	julien saglio leveskomozicio
78	Julien Saglio Leveskomozicio	julien saglio leveskomozicio
79	Szeri Viktor Résztvevők Cuhorka Emese	szeri viktor resztvevok cuhorka emese
80	Szeri Viktor Résztvevők Cuhorka Emese	szeri viktor resztvevok cuhorka emese
81	Marty Huber performanszelőadása	marty huber performanszeloadasa
82	Marty Huber performanszelőadása	marty huber performanszeloadasa
83	Shakamiva Kishawa	shakamiva kishawa
84	Shakamiva Kishawa	shakamiva kishawa
85	Dj Külsőwinchester	dj kulsowinchester
86	Dj Külsőwinchester	dj kulsowinchester
87	Pixel Art Minecraft	pixel art minecraft
88	Pixel Art Minecraft	pixel art minecraft
89	Fotodemonstracios Kiallitas Axel Schneider fenykepeivel	fotodemonstracios kiallitas axel schneider fenykepeivel
90	Fotodemonstracios Kiallitas Axel Schneider fenykepeivel	fotodemonstracios kiallitas axel schneider fenykepeivel
91	Ifjúsági Képzőművészeti Műhely	ifjusagi kepzomuveszeti muhely
92	Ifjúsági Képzőművészeti Műhely	ifjusagi kepzomuveszeti muhely
93	Tolcsvai Land Art Művésztelep Kiállítása	tolcsvai land art muvesztelep kiallitasa
94	Tolcsvai Land Art Művésztelep Kiállítása	tolcsvai land art muvesztelep kiallitasa
95	Bkf Médiaművészeti Intézetének Média szakja	bkf mediamuveszeti intezetenek media szakja
96	Bkf Médiaművészeti Intézetének Média szakja	bkf mediamuveszeti intezetenek media szakja
97	Bkf képgrafika szakának diplomakiállítása	bkf kepgrafika szakanak diplomakiallitasa
98	Bkf képgrafika szakának diplomakiállítása	bkf kepgrafika szakanak diplomakiallitasa
99	Bme Építészmérnöki Kara	bme epiteszmernoki kara
100	Bme Építészmérnöki Kara	bme epiteszmernoki kara
101	Bme Építőművészeti Doktori Iskolája	bme epitomuveszeti doktori iskolaja
102	Bme Építőművészeti Doktori Iskolája	bme epitomuveszeti doktori iskolaja
103	Betű Csütörtök különkiadása	betu csutortok kulonkiadasa
104	Betű Csütörtök különkiadása	betu csutortok kulonkiadasa
105	Art Weekkel	art weekkel
106	Photography Review	photography review
107	Photography Review	photography review
108	Metropolitan Egyetem Képi	metropolitan egyetem kepi
109	Metropolitan Egyetem Képi	metropolitan egyetem kepi
110	Kozma Lajos	kozma lajos
111	Városvédő Egyesület	varosvedo egyesulet
112	Városvédő Egyesület	varosvedo egyesulet
113	Bécsi Közgazdasági	becsi kozgazdasagi
114	Üzleti Egyetem kampusza Előadás	uzleti egyetem kampusza eloadas
115	Bélaműhely hangkeltő workshopjai	belamuhely hangkelto workshopjai
116	Crosstalk Video Art Fesztiválon Való Részvételre	crosstalk video art fesztivalon valo reszvetelre
117	Crosstalk Video Art Fesztiválon Való Részvételre	crosstalk video art fesztivalon valo reszvetelre
118	Cseh Centrum	cseh centrum
119	Cseh Centrum	cseh centrum
120	Cseh Építészek Szövetségének	cseh epiteszek szovetsegenek
121	Cseh Építészek Szövetségének	cseh epiteszek szovetsegenek
122	Danish Architecture Centre	danish architecture centre
123	Danish Architecture Centre	danish architecture centre
124	Debreceni Egyetem Építészmérnöki Karának	debreceni egyetem epiteszmernoki karanak
125	Dán Nagykövetség	dan nagykovetseg
126	Dán Nagykövetség	dan nagykovetseg
127	Fehér Vera	feher vera
128	Fehér Vera	feher vera
129	Fuga akutális	fuga akutalis
130	Fuga akutális	fuga akutalis
131	Fehér Vera	feher vera
132	Fehér Vera	feher vera
133	Fehér Vera	feher vera
134	Fehér Vera	feher vera
135	Fehér Vera	feher vera
136	Fiatal Képzőművészek Stúdiója Egyesület	fiatal kepzomuveszek studioja egyesulet
137	Fiatal Képzőművészek Stúdiója Egyesület	fiatal kepzomuveszek studioja egyesulet
138	Fiatal Képzőművészek Stúdiója	fiatal kepzomuveszek studioja
139	Fiatal Képzőművészek Stúdiója	fiatal kepzomuveszek studioja
140	Finn Építészeti Múzeum Helsinki	finn epiteszeti muzeum helsinki
141	Finn Építészeti Múzeum Helsinki	finn epiteszeti muzeum helsinki
142	Firka Kör	firka kor
143	Firka Kör	firka kor
144	Folyamat Társaság	folyamat tarsasag
145	Folyamat Társaság	folyamat tarsasag
146	GyőrMosonSopron Megyei Építész Kamara	gyormosonsopron megyei epitesz kamara
147	GyőrMosonSopron Megyei Építész Kamara	gyormosonsopron megyei epitesz kamara
148	Hap Galéria	hap galeria
149	Hap Galéria	hap galeria
150	Hap Galéria	hap galeria
151	Hap Galéria	hap galeria
152	Hap Galéria	hap galeria
153	HajdúBihar Megyei Építész Kamara	hajdubihar megyei epitesz kamara
154	HajdúBihar Megyei Építész Kamara	hajdubihar megyei epitesz kamara
155	HajdúBihar Megyei Építész Kamara	hajdubihar megyei epitesz kamara
156	HajdúBihar Megyei Építész Kamara	hajdubihar megyei epitesz kamara
157	Hejettes Szomlyazók	hejettes szomlyazok
158	Hejettes Szomlyazók	hejettes szomlyazok
159	Hermina Alkotócsoport	hermina alkotocsoport
160	Hermina Alkotócsoport	hermina alkotocsoport
161	Józan Babák Klub playbackszínháza	jozan babak klub playbackszinhaza
162	Józan Babák Klub playbackszínháza	jozan babak klub playbackszinhaza
163	Kmkk gyűjteményből	kmkk gyujtemenybol
164	Kmkk gyűjteményből	kmkk gyujtemenybol
165	Kassai Műszaki Egyetem Művészeti Kar Design Tanszékének	kassai muszaki egyetem muveszeti kar design tanszekenek
166	Kassai Műszaki Egyetem Művészeti Kar Design Tanszékének	kassai muszaki egyetem muveszeti kar design tanszekenek
167	Kortárs Művészeti Lexikon Iii sajtóbemutatója	kortars muveszeti lexikon iii sajtobemutatoja
168	Kortárs Művészeti Lexikon Iii sajtóbemutatója	kortars muveszeti lexikon iii sajtobemutatoja
169	Kreatív Töltet foglalkozásain	kreativ toltet foglalkozasain
