	step4	step5
147	A Bkf képgrafika szakának diplomakiállítása	Bkf képgrafika szakának diplomakiállítása
148	A Bkf képgrafika szakának diplomakiállítása	Bkf képgrafika szakának diplomakiállítása
149	A Bme Építészmérnöki Kara	Bme Építészmérnöki Kara
150	A Bme Építészmérnöki Kara	Bme Építészmérnöki Kara
151	A Bme Építőművészeti Doktori Iskolája	Bme Építőművészeti Doktori Iskolája
152	A Bme Építőművészeti Doktori Iskolája	Bme Építőművészeti Doktori Iskolája
153	A BPworkshopon  csoportok kiállítása	DELETED
154	A BPworkshopon  csoportok kiállítása	DELETED
155	A Betű Csütörtök különkiadása	Betű Csütörtök különkiadása
156	A Betű Csütörtök különkiadása	Betű Csütörtök különkiadása
157	A  Art Weekkel közös rendezvény	Art Weekkel
158	A  Photography Review programja	Photography Review
159	A  Photography Review programja	Photography Review
160	A i Metropolitan Egyetem Képi ábrázolás szakos hallgatóinak kiállítása	Metropolitan Egyetem Képi
161	A i Metropolitan Egyetem Képi ábrázolás szakos hallgatóinak kiállítása	Metropolitan Egyetem Képi
162	A i Műhely	DELETED
163	Kozma Lajos	Kozma Lajos
164	A i Városvédő Egyesület  kiállítása	Városvédő Egyesület
165	A i Városvédő Egyesület  kiállítása	Városvédő Egyesület
166	A Bécsi Közgazdasági	Bécsi Közgazdasági
167	Üzleti Egyetem új kampusza Előadás	Üzleti Egyetem kampusza Előadás
168	könyvbemutató	DELETED
169	A Bélaműhely hangkeltő workshopjai	Bélaműhely hangkeltő workshopjai
170	A Crosstalk Video Art Fesztiválon Való Részvételre	Crosstalk Video Art Fesztiválon Való Részvételre
171	A Crosstalk Video Art Fesztiválon Való Részvételre	Crosstalk Video Art Fesztiválon Való Részvételre
172	A Cseh Centrum programja	Cseh Centrum
173	A Cseh Centrum programja	Cseh Centrum
174	A Cseh Építészek Szövetségének kiállítása	Cseh Építészek Szövetségének
175	A Cseh Építészek Szövetségének kiállítása	Cseh Építészek Szövetségének
176	A Danish Architecture Centre  kiállítása	Danish Architecture Centre
177	A Danish Architecture Centre  kiállítása	Danish Architecture Centre
178	A Debreceni Egyetem Építészmérnöki Karának hallgatói	Debreceni Egyetem Építészmérnöki Karának
179	A Dán Nagykövetség programja	Dán Nagykövetség
180	A Dán Nagykövetség programja	Dán Nagykövetség
181	A Fehér Vera	Fehér Vera
182	A Fehér Vera	Fehér Vera
183	A Fuga akutális kiállításai	Fuga akutális
184	A Fuga akutális kiállításai	Fuga akutális
185	A Fehér Vera	Fehér Vera
186	A Fehér Vera	Fehér Vera
187	A Fehér Vera	Fehér Vera
188	A Fehér Vera	Fehér Vera
189	A Fehér Vera	Fehér Vera
190	A Fiatal Képzőművészek Stúdiója Egyesület éves kiállítása	Fiatal Képzőművészek Stúdiója Egyesület
191	A Fiatal Képzőművészek Stúdiója Egyesület éves kiállítása	Fiatal Képzőművészek Stúdiója Egyesület
192	A Fiatal Képzőművészek Stúdiója retrospektív kiállítása	Fiatal Képzőművészek Stúdiója
193	A Fiatal Képzőművészek Stúdiója retrospektív kiállítása	Fiatal Képzőművészek Stúdiója
194	A Finn Építészeti Múzeum Helsinki kiállítása	Finn Építészeti Múzeum Helsinki
195	A Finn Építészeti Múzeum Helsinki kiállítása	Finn Építészeti Múzeum Helsinki
196	A Firka Kör kiállítása	Firka Kör
197	A Firka Kör kiállítása	Firka Kör
198	A Folyamat Társaság kiállítása	Folyamat Társaság
199	A Folyamat Társaság kiállítása	Folyamat Társaság
200	A GyőrMosonSopron Megyei Építész Kamara kiállítása	GyőrMosonSopron Megyei Építész Kamara
201	A GyőrMosonSopron Megyei Építész Kamara kiállítása	GyőrMosonSopron Megyei Építész Kamara
202	A Hap Galéria kiállítása	Hap Galéria
203	A Hap Galéria kiállítása	Hap Galéria
204	A Hap Galéria kiállítása	Hap Galéria
205	A Hap Galéria kiállítása	Hap Galéria
206	A Hap Galéria kiállítása	Hap Galéria
207	A HajdúBihar Megyei Építész Kamara kiállítása	HajdúBihar Megyei Építész Kamara
208	A HajdúBihar Megyei Építész Kamara kiállítása	HajdúBihar Megyei Építész Kamara
209	A HajdúBihar Megyei Építész Kamara tagjainak jubileumi kiállítása	HajdúBihar Megyei Építész Kamara
210	A HajdúBihar Megyei Építész Kamara tagjainak jubileumi kiállítása	HajdúBihar Megyei Építész Kamara
211	A Hejettes Szomlyazók korai korszaka	Hejettes Szomlyazók
212	A Hejettes Szomlyazók korai korszaka	Hejettes Szomlyazók
213	A Hermina Alkotócsoport kiállítása	Hermina Alkotócsoport
