	step6	version 6 - top sim	version 6 - cnt
1932	stefano bottoni	54	1
1933	geczi janos	64	11
1934	katarzyna winiecka	72	2
1935	default production	50	2
1936	museum eisenhuttenstadt	50	1
1937	nazer adam	61	2
1938	palugyai istvan	67	2
1939	george condo	64	2
1940	osztrak koztarsasag	63	1
1941	az eszt epiteszek szovetsegenek	56	2
1942	jeanbaptiste naudy fat	47	3
1943	nemeth maria	75	2
1944	experiment kft	53	2
1945	szakacs istvan	77	3
1946	resztvevok wessely anna	59	2
1947	magda wegrzyn	61	1
1948	szeszler vera	62	2
1949	gulyas gabor kurator	63	2
1950	dardai zsuzsaeti	79	1
1951	gajan eva	63	2
1952	ladany laszlo	62	2
1953	melyi jozsef {hu}	56	2
1954	bojta zsuzsanna	73	2
1955	marschall norbert	69	3
1956	olah peter	70	2
1957	khalil abou hadid	50	3
1958	homicsko atanaz	55	2
1959	sander veenhof	53	2
1960	pal gabor	70	5
1961	faur zsofi galeria	59	2
1962	karcag eva	80	7
1963	daniel ferstl	60	1
1964	hunya krisztina	76	14
1965	heather schmaedeke	50	1
1966	almasi miklos	77	1
1967	karadi eva	80	2
1968	stark istvan	83	52
1969	elzbieta zrobek	50	2
1970	ilse weber	64	2
1971	pdmaniczky szilard	55	2
1972	robert nouhuys	72	2
1973	suranyi miklos	67	23
1974	cosmos geo	57	2
1975	karl martin holzhauser	54	2
1976	steven frost	56	2
1977	toth karoly	64	1
1978	uhl gabriellla	96	2
1979	balogh gallusz	74	2
1980	alessandro norse	67	2
1981	aleksander bassin mestna galerija ljubljana	46	1
1982	robert watts	70	1
1983	major gyongyi	88	4
1984	doris weinberger	62	1
1985	czobel bela	50	36
1986	robert balzar trio	62	2
1987	grudlturi gabor	64	2
1988	tordai teri	64	2
1989	varga bianka hella	55	1
1990	mohai zsofia	56	2
1991	domjan mano beyond prezentaciojaval	44	1
1992	susanne kriemann	55	2
1993	pettendi szabopeter	55	1
1994	balajthy boglarka	53	2
1995	aaron erp	56	2
1996	bureau d'etudes	52	2
1997	csagoly ferenc dla	53	2
1998	kanyo david	76	2
1999	ferenczi karoly	55	7
2000	torok judit	67	4
2001	edu bayer	58	2
2002	szvet tamas	64	36
2003	szitas brigittacsonto matecsuja bence	46	2
2004	mischa reska	55	2
2005	fenyves gabriella	67	2
2006	nemeth janos	75	6
2007	kristen ronnevik	58	1
2008	varga zsuzsa	83	1
2009	miklos hannaingrid	57	2
2010	hannes bohringer	64	4
2011	az orszagos szechenyi konyvtar	47	2
2012	taskovics eva	70	34
2013	kael norbert	69	2
2014	miroslaw balka	54	2
2015	lelkes bernadett	75	4
2016	bihari sandor	67	2
2017	judit craciun	58	2
2018	nemes nagy agnes	57	2
2019	nicoletta auersperg	56	2
2020	jeremy lewison	56	1
2021	lenkes ildiko	54	8
2022	michaela holotova bodnarova	46	2
2023	fajgerne dudas andrea julia	59	12
2024	etienne beothy	52	2
2025	lantos timea	75	4
2026	eva ko>>atkova	57	8
2027	balazs zoltan	72	2
2028	olga kovrikova	57	2
2029	martonfi attila	62	2
2030	paul fusco	60	2
2031	sibylle bergemann	55	1
2032	ilya kabakov	54	3
2033	stenger angela	64	3
2034	fekete ibolya	69	1
2035	halmos fatime	64	1
2036	matthias reinhold	53	1
2037	varga levente	58	2
2038	kemeny gyorgy	77	36
2039	lukacs miklos	77	5
2040	modor viktoria molnar agnes eva nemeth ilona oravecz timea	40	2
2041	gallusz gyongyi	64	8
2042	hrabeczy erno	58	1
2043	kaiser otto	54	3
2044	korzenszky richard osb	47	2
2045	esztero anett	59	4
2046	grunfelder judit	62	10
2047	solt andras gabor	80	3
2048	sulyok mikloseti	67	1
2049	torday alizeti	64	1
2050	sigmar polke	52	1
2051	vass miklos	75	11
2052	kovacs szabolcs gergo	61	2
2053	nadler tibor	70	1
2054	szilagyi fanni	59	3
2055	bohdan hubal	52	1
2056	adriana dalypeterova	56	8
2057	ozana muresan	53	2
2058	meszaros tibor	64	2
2059	somloi kolos	61	2
2060	jasz kurt fogado galeriaja	59	2
2061	forgacs balint	72	2
2062	horvath roland incze mozes	68	3
2063	banyai peter	75	1
2064	julie chovin	56	2
2065	peter ko(c)trun	58	2
2066	horvath roland jakaticsszabo vera	68	2
2067	regos andrea	77	3
2068	dejan sluga	57	8
2069	darab zsuzsa	83	3
2070	szabics anes	64	1
2071	szatmari zsuzsanna	73	1
2072	uhl gabriella	96	91
2073	zakany dia	67	2
2074	erdelyi lajos	64	2
2075	ozsvat sara	56	2
2076	dobo gabor	76	11
2077	robert capa	73	15
2078	demcsak dora vanda	60	4
2079	golasz timea	75	2
2080	dallos adam	61	35
2081	perlaki gergely	60	1
2082	poroszlai eszter	69	14
2083	sarah fonzi	52	1
2084	major zoltan	74	1
2085	uhrin tibor	73	2
2086	arturas raila	58	3
2087	kozremukodik karosi julia	63	2
2088	vargalelkes annamaria	63	4
2089	magyari zsolt	74	3
2090	csorogi dora	64	4
2091	samu szemerey epitesz	50	2
2092	veer munshi	55	2
2093	benedek elek	48	2
2094	mehes csaba	76	2
2095	willi weiner	64	2
2096	kelemen marcel	73	4
2097	bakacs eva	70	3
2098	emily silver	53	2
2099	kozremukodik gal kinga gordonkan	63	2
2100	mednyanszky rene aka menzikie	44	1
2101	hegedus andrea	77	3
2102	dominique auerbacher	51	1
2103	sator denes	67	2
2104	herendi peter gabor eva maria	50	2
2105	csepella oliver	52	2
2106	bartok jozsef	64	2
2107	gergely eva	58	1
2108	parasztok atmoszferaban	51	2
2109	viktor hulik	52	11
2110	csuja bence	61	2
2111	keller diana	67	18
2112	giovani avashadur	54	2
2113	menesi luca	64	23
2114	jay tan	63	4
2115	modos gabor	76	1
2116	keuler jeno	61	1
2117	yvonne buc	48	3
2118	gado zsuzsa	78	1
2119	fandly edit	57	21
2120	daniel domig	62	4
2121	hajdu istvan balkon	53	2
2122	cseh lili	70	33
2123	laszlo gergo	61	2
2124	cseh krisztina	76	2
2125	koltay eszter	70	2
2126	magyari zsuzsa	77	19
2127	magdalena karpinska	58	2
2128	radim langer	61	2
2129	magda radu	61	2
2130	hopphalasz karoly	64	8
2131	laczko juli	55	4
2132	boa buro aleatorik	56	1
2133	heiner holtappels	57	2
2134	katalin szaraz	61	1
2135	paolo nozolino	58	2
2136	jerome hantai	56	2
2137	major gyorgy	88	2
2138	kadasi eva	80	1
2139	veronika witte	53	1
2140	krizso szilvia	54	2
2141	marko brecelj	52	6
2142	changsoo kim	50	2
2143	lucia campos	56	2
2144	vojtech rada	55	2
2145	batory peter	75	1
2146	haasz ferenc	67	1
2147	petery melinda	64	2
2148	fekete gyorgy	77	6
2149	szabo tunde judit	61	1
2150	bada dada tibor	59	4
2151	urban tibor-flasko attila	61	2
2152	peer krisztian	71	12
2153	matthew stokes	50	2
2154	fener tamas	64	21
2155	szolnoki jozsef	69	52
2156	renyi andras elte muveszettorteneti intezet	49	2
2157	mona radziabari	54	2
2158	horvath eva	64	5
2159	gacs anna irodalomkritikus	47	1
2160	origo fotoriportere	50	5
2161	vizi szolneszter	56	2
2162	noguchi chitose	52	2
2163	razvan botis	52	2
2164	marek janiak	55	6
2165	standovar julia	62	2
2166	lucien herve	50	9
2167	der virag	57	13
2168	basch andor	67	2
2169	csaky istvan	83	2
2170	fenyo janos	64	1
2171	georg peck	64	1
2172	judit torok	58	1
2173	laura ociepa	56	2
2174	marina noronha	56	1
2175	simone kotzyba	56	1
2176	angelina hafynets	55	2
2177	el kazovszkij	50	72
2178	aldo damioli	61	2
2179	kerekes vica	57	3
2180	meszaros annarozsa	62	4
2181	leo pettersson	59	1
2182	mate beata	56	2
2183	simo gyorgy	78	5
2184	toro annamaria	63	2
2185	junghaus timea	69	16
2186	hans winkler	64	4
2187	vagyoczki vilmos	53	2
2188	votin dora	67	4
2189	john cassevetes	50	2
2190	reti angela	64	2
2191	kovac barnabas	67	2
2192	kiallitoek tarlatvezetest	74	3
2193	sulyok gabriella	83	5
2194	robert vano	73	4
2195	analia beltran janes	56	2
2196	christa kaltenbrunner	54	2
2197	pleh csaba	76	8
2198	fejes adrienn	60	2
2199	gabi jimenez	52	2
2200	siskov ludmil	52	3
2201	tracey emin	58	2
2202	fillenz istvan	69	4
2203	wolfgang meissner	55	2
2204	mandy laura	57	2
2205	csendom veronika	56	4
2206	mogyorosi timea	67	4
2207	florence meunier	55	1
2208	bilirmeier cana	54	2
2209	can altay	55	2
2210	nemeth diana	75	2
2211	nemzetkozi szektorlabda szovetseg	56	2
2212	rohrig eszter	69	2
2213	furjes pal	52	5
2214	paul noble	64	2
2215	reha akcakaya	52	2
2216	kelle antal artformer	55	2
2217	pfisztner gabor	62	41
2218	demszky gabor fopolgarmestere	50	1
2219	gink sara	61	4
2220	jeon sihyun	50	2
2221	kelemen kvartett	73	1
2222	konya bela tamas	60	2
2223	orban gyor	64	2
2224	spike jonze john malkovich	44	1
2225	tortelli lilla	54	2
2226	torok orsi	67	4
2227	verebics agi	52	20
2228	deak ilona	57	1
2229	bardosi ibolya	77	1
2230	balazs janos	72	2
2231	david wilkinson	56	12
2232	francois soulages	55	2
2233	jeanpaul ameline	54	2
2234	karacsonyi laszlo attila	62	15
2235	szecsi noemi	64	10
2236	peeter tooming	64	2
2237	lini eniko	52	2
2238	szamody zsolt	62	3
2239	magyar vizfestok tarsasaganak	52	2
2240	madeleine berkhemer	51	2
2241	borbely andras	75	2
2242	ingrid larssen	50	2
2243	lotte geeven	50	9
2244	jiwon woo	50	2
2245	varga lajos	61	2
2246	czipor adrienn	59	2
2247	arnus horribilis	59	2
2248	borsos istvan	67	4
2249	kuti denes	67	2
2250	pete nora	61	2
2251	sergio belinchon	53	3
2252	elek artur	55	1
2253	steve mccurry	56	2
2254	lengyel koztarsasag	63	3
2255	nemzeti kozlekedesi hatosag	53	2
2256	pp group	47	2
2257	kocsi judit	64	1
2258	takacs tamas peter	55	4
2259	balogh tunde	62	2
2260	prakfalvi endre	60	8
2261	magyar latvany	67	4
2262	thury lili	67	14
2263	ordog ibolya	77	2
2264	jakub slomkowski	62	4
2265	deak csenge	55	4
2266	dina organova	65	2
2267	varga bertalan	62	14
2268	koszeghy flora	61	4
2269	piotr mlodozeniec	50	1
2270	des marci	74	2
2271	kovacs reka voros	67	4
2272	ingo duderstedt	50	4
2273	nagy andrea	70	15
2274	iveta cerna	67	2
2275	radanovits lilla	69	2
2276	stiller akos	67	10
2277	zilahi anna	67	15
2278	jakub ciezki	50	2
2279	romek dora	63	2
2280	aranyi nora	77	2
2281	darius gorsicza	60	2
2282	horvath levente	79	6
2283	huber zoltan	69	4
2284	szabo gyula	73	5
2285	sugar peter	64	8
2286	dumtsa jeno	55	4
2287	szilvitzky margit	57	2
2288	skype kurator nagy edina	49	3
2289	szarvak antal	67	4
2290	naomi devil	53	13
2291	katarina bohacova	74	2
2292	rajk laszlo design	54	2
2293	lugossy maria	59	13
2294	kaman gyongyi	58	6
2295	francesco rosi	59	2
2296	buna konstantinne	55	2
2297	balazspiri balazs	71	2
2298	liudmila tcoi	53	4
2299	benjamin ducroz	57	2
2300	gera noemi	60	4
2301	tamas agota	64	2
2302	rafi segal	56	2
2303	bryan zanisnik	56	2
2304	csanadi judit dla	62	2
2305	acsai roland	64	6
2306	horvath zoltan	69	7
2307	horvath adam	72	2
2308	huszar imre	64	3
2309	derenycsenyi istvan	65	2
2310	marguerite donlon	55	2
2311	cosmin nasui	50	2
2312	dekei krisztina	73	8
2313	katona szabo erzsebet	58	4
2314	tonko maroevic horvat tudomanyos	45	2
2315	nagy barbara	70	46
2316	tigran kachatrian	55	3
2317	oliver kossack	54	5
2318	vathy zsuzsa	70	2
2319	hiroshi teshigahara	49	3
2320	richard billingham	55	1
2321	prokop attila	62	2
2322	vera molnar	61	28
2323	magda grzybowska	58	2
2324	joe scorsone	52	2
2325	liptay matyas	59	2
2326	korniss peter	71	39
2327	bekefi robert	67	2
2328	mile zsigmond	81	2
2329	szijarto zsolt kulturakutato	49	2
2330	george marinciu	62	3
2331	tasi akos	67	2
2332	damir ocko	53	6
2333	solymos sandor magyar kepzomuveszeti egyetem	46	2
2334	koszasipos laszlo	67	2
2335	gazdag jozsef	67	2
2336	schaffer erzsebet	65	1
2337	zsakovics ferenc	79	6
2338	gulya lussikova	55	2
2339	nemet zoltan beata gszabo	63	2
2340	vidhyasagar upadhyay	59	2
2341	mesz andras	73	2
2342	luis bunuel	55	5
2343	varay ibolya	62	2
2344	christoph doswald	57	1
2345	gyulai liviusz	68	4
2346	veres agota	64	2
2347	vincent chablais	52	2
2348	lenkovics barnabas	62	2
2349	czako zsolt	58	7
2350	tim digulla	58	2
2351	zolnay pal	61	2
2352	nemeth attila	72	2
2353	rozsa miklos	77	3
2354	john jacob	61	2
2355	salvai ramona	62	1
2356	ranzit balazs anna	62	2
2357	hajas tibor	54	33
2358	benkovits gyorgy	71	3
2359	gabor csongor szigeti	50	4
2360	keleti eva magyar fotoriporterek tarsasaganak	47	2
2361	varga nandor lajos	62	2
2362	koka ferenc	78	2
2363	gink judit	64	2
2364	sandro chia	61	2
2365	katarina ciglanova	74	2
2366	steiner gyula	64	1
2367	nakano kenichi	58	2
2368	marit helen akslen liv blesaringvarp	46	2
2369	juliana saiska ventsislav zankov	48	2
2370	international symposium	47	2
2371	ipkovich gyorgy	71	2
2372	varsoi epiteszeti kozpont	50	2
2373	zoltai attila	69	2
2374	mikko hallikainen	52	1
2375	erin jane nelson	62	2
2376	lehel gabor	57	2
2377	podmaniczky agnes	80	16
2378	hegyi dora	63	78
2379	fischer ivan	59	2
2380	ken loach kes	52	1
2381	vachter janos	67	20
2382	fekete denes	56	4
2383	thais lenkiewicz	50	4
2384	gotz janos	67	2
2385	salamin ferenc	69	3
2386	cristian loaiza chino	61	2
2387	osa archivum	57	5
2388	varacskos plusz	54	1
2389	valogatas gyori magangyujtemenyekbol	41	2
2390	ujhazi laszlo	60	2
2391	attilio fortini	52	2
2392	barcza daniel	71	2
2393	gobe tarsulata	54	2
2394	kerekgyarto eva	58	1
2395	wolfgang volz	55	2
2396	kokay krisztina	84	13
2397	haraszty istvan	73	49
2398	barta eva	63	2
2399	az orszagos szinhaztorteneti muzeum	62	2
2400	bodi zsuzsanna	83	2
2401	dave hanson	57	2
2402	ingrid schutz	50	4
2403	jakab renata	56	4
2404	kovacs tamas vilmos	79	5
2405	meelis vind	58	2
2406	norwegian university science	52	2
2407	jeff taylor state university new york	52	2
2408	mohy sandor	62	2
2409	radoczygyarmathy gabor	50	2
2410	eisenmann jozsef	60	2
2411	fekete tukor emlekchip	53	1
2412	illes barna	62	30
2413	fabry olivia	58	2
2414	jane campion	56	2
2415	szasz anna	70	4
2416	havas balint	56	20
2417	petrut calinescu	52	2
2418	czako ferenc	79	2
2419	szegedymaszak zoltan-fernezelyi marton	50	1
2420	malgorzata goliszewska	58	2
2421	edina fazekas	56	2
2422	jancso mikos szechenyi irodalmi	55	2
2423	jeanpaul felley	62	2
2424	seres sandor	61	4
2425	mohamed abouelnaga	50	2
2426	munkacsy mihalydijas	55	3
2427	horvath emese	79	2
2428	erdo rebeka	58	3
2429	tettamanti bela	62	5
2430	aviczky agnes	80	2
2431	rowena harris	48	2
2432	spengler katalineti	69	2
2433	csordas daniel	67	2
2434	kakoczi andras	64	2
2435	lazar eszter	64	52
2436	bogyo virag	55	24
2437	bartlomiej wegrzyn	50	1
2438	miltenyi miklos	62	2
2439	sipos tunde	55	6
2440	bada emoke	57	6
2441	wang ling	57	2
2442	mketervezografika lakosi krisztian	53	2
2443	szigethy eszter	64	3
2444	dobos edua dalma	53	2
2445	mate balazs	73	13
2446	lipkovics peter	71	18
2447	bartis attila	69	13
2448	kelemen marcell	59	1
2449	torocsik eszter	60	2
2450	esther kempf	54	2
2451	deak zsuzsa	70	1
2452	matyassy jonas	56	2
2453	amadinda utoegyuttes	48	2
2454	santa csaba	70	8
2455	david meskhi	57	1
2456	euro foto art egyesulet	94	2
2457	oreg nora	63	1
2458	bohm gergely	52	2
2459	perlaki marton	67	3
2460	claudio giacomino	55	2
2461	gevicser endre	57	4
2462	borgo gyorgy csaba	60	4
2463	brad downey	58	6
2464	faskerti zsofia	55	11
2465	colin ardley	55	2
2466	hajgato terezia	56	2
2467	kapolka agnes	64	1
2468	markus loffler	57	5
2469	korodi magdolna	54	2
2470	marek wasilewski	55	4
2471	maria noujaim	70	2
2472	robert waldl	67	7
2473	frank bela	67	2
2474	paul schrader idegenek velenceben	45	1
2475	lucie orbok	48	2
2476	palos anna	70	8
2477	natalia velchinskaya	61	2
2478	jan kennis	58	6
2479	nagy zoltan ferenc	69	1
2480	tallian hedvig	48	2
2481	emilia jagica	54	2
2482	alessandra critelli	53	2
2483	eletmuvebol festmenyek	47	1
2484	nagy benjamin	58	23
2485	kovalovszky daniel	62	17
2486	petak peter	64	3
2487	sziraki veronika	59	5
2488	weiszer alinda	64	2
2489	jesica lopez	54	3
2490	szabo klara petra	61	39
2491	kiraly levente	69	1
2492	blasko agnes	64	3
2493	christian jankowski {ger}	52	2
2494	gosha rubchinskiy	55	2
2495	altorjay andras	62	2
2496	janina mierzecka	55	2
2497	tatianabuijs vitkova	53	2
2498	fejervari zsolt	55	4
2499	avar akos orientalista	56	1
2500	peter fritzenwallner	51	3
2501	fonti krisztina	73	6
2502	milos sein	61	1
2503	nemeth gyula	72	2
2504	adrjian kavardic	55	2
2505	boritas wiktor iwan	59	2
2506	du1ica a 3/4 iae	48	2
2507	szemadam gyorgy	62	34
2508	bruno barbey	54	2
2509	gyulai liviusz kossuthdijas	68	2
2510	heidrun holzfeind	52	4
2511	jaroslaw suchan	54	2
2512	wilhelm andras zeneeszteta	49	2
2513	metis fotougynokseg	48	2
2514	serge bloch	55	2
2515	tilo baumgartel	57	7
2516	bikacsi daniela	71	26
2517	szentirmai tamas	67	6
2518	april foley	62	2
2519	manuelaesther kreissl sanchez	50	1
2520	nagy gabor intezetigazgato	51	2
2521	kucsora marta	67	17
2522	pier pennings	52	2
2523	bukki zsuzsanna	83	2
2524	emil goodman szabo andras	58	1
2525	fako arpad	58	10
2526	judith minks	56	1
2527	bako helen	64	4
2528	boros lili kuratora	58	2
2529	gulacsy lajos	55	11
2530	kovacs jozsef	79	2
2531	vysoka (c)kola vytvarnych umeni bratislava	43	2
2532	david anna dora	61	2
2533	kovacs tamas laszlo	79	13
2534	puha ferenc	73	2
2535	smid robert	67	3
2536	verebics agines szabo agnes	58	1
2537	berczi szaniszlo	62	4
2538	matt bryans	64	2
2539	makai mira dalma	55	8
2540	des marton	74	12
2541	jelenits istvan	69	4
2542	skenderovits lidija	57	1
2543	pbarna judit	64	1
2544	rotterdami nederlands instituut vendegkiallitasa	41	2
2545	azur kinga	64	5
2546	holesch denes	56	2
2547	miklos gaal	57	5
2548	vinylize tipton	55	2
2549	kigyos fruzsina	58	11
2550	chilf maria palko tibor	53	1
2551	mondik noemi	64	2
2552	isa rosenberger	54	2
2553	michal amarek	58	2
2554	jancso miklos	67	5
2555	udvarhelyi eva tessza	48	2
2556	demeter davidi	62	1
2557	lisziak elek	57	3
2558	ioana nemes	61	7
2559	ijjas tamas	67	2
2560	mark martinko	59	3
2561	alexander markov	58	1
2562	szell katalin	69	2
2563	horvath lili	69	2
2564	papp reka kinga	64	6
2565	imreh zsigmond	81	2
2566	moricz sabjan simon	57	2
2567	uj fovarosi keptarban iii	46	2
2568	boris ondreicka	60	2
2569	marc bijl	67	2
2570	mikita gabor szinhaztortenesz	62	2
2571	szellei lelle	57	2
2572	spanyi bela	67	2
2573	daniel jacoby	61	4
2574	alex webb	44	5
2575	raheleh mohammad	47	1
2576	kovacs agota julia	65	2
2577	runo lagomarsino	55	4
2578	maurits ferenc	67	3
2579	christopher pinney	57	1
2580	kovacs zsuzsa olma	61	2
2581	atelier populaire	60	2
2582	frantisek skala	64	4
2583	krupp marton	64	2
2584	nemeth zoltan	72	5
2585	zellei boglarka	62	6
2586	seemann adrienn	54	11
2587	komaromi reka	58	2
2588	le quy tong	48	2
2589	gal georgina	56	2
2590	mimmo rotella	50	2
2591	thomas wrede	50	2
2592	fulep ildi	50	1
2593	hunyadi regina	59	1
2594	renyi andras elte muveszettorteneti tanszekenek intezetvezetoje	43	2
2595	clara fonte boa	56	2
2596	janet meester	58	2
2597	dan maciuca	60	2
2598	marcel bovis	67	2
2599	marosits istvan	74	2
2600	morasz david	62	2
2601	turcsan miklos	77	1
2602	hortensia volckers	52	2
2603	david demjanovic	58	6
2604	szirmai anna linda	62	2
2605	mia liu wenhsuan	50	2
2606	kalacska maria	67	1
2607	gabriel bauret	58	2
2608	paolo farkas	64	2
2609	johanna klapproth	52	2
2610	radvanszki levente	67	2
2611	holland kulturalis attaseja	50	2
2612	angela lubic	57	6
2613	hornyik anna	61	1
2614	szabo gabor	73	4
2615	gilberto delgado garcia	48	2
2616	fodo gabor	67	17
2617	hans staudacher	54	2
2618	haraszti gina	71	3
2619	faludy judit	58	14
2620	judith varnai shorer	56	2
2621	laki julia	52	6
2622	bene geza	55	3
2623	szorenyi beat	67	1
2624	farkas emese	64	2
2625	jean pierre philippe lampue	45	2
2626	julia schwarzwalder	51	1
2627	kupcsik adrian	64	48
2628	nemes janos pal	54	2
2629	scherer jozsef	65	1
2630	leopold kessler	50	8
2631	mezei szilard	58	4
2632	laar balazs	73	4
2633	bodrogi eva	60	13
2634	kassai hajnal	62	1
2635	full kolor	50	2
2636	kovacs ivo	70	7
2637	karen bosser	58	2
2638	szaladjak istvan	64	4
2639	eti szcena	67	2
2640	hubert hasler	57	4
2641	dobesch mate	64	3
2642	muveszeti gyerekjogok vilagnapja	42	2
2643	szantoi lilla	69	25
2644	clare birgin	53	2
2645	tehnika schweiz	50	2
2646	csonka zoltan	67	2
2647	somogyi hajnalka	62	68
2648	bakos istvan	74	1
2649	keszeg nand	64	2
2650	szell tamas	67	2
2651	bullet shih	48	7
2652	az euro foto art egyesulet	94	2
2653	george shaw	62	2
2654	szentandrasisos zsuzsanna	62	8
2655	drtakacs jozsef	79	2
2656	erik andersen	62	2
2657	kormos anna zsofia	56	2
2658	vari gyorgy	69	2
2659	robert rumas	67	2
2660	csizek gabriella kurator	58	3
2661	sirpa ihanus	52	4
2662	gluklya natalia pershinayakimanskaya	61	2
2663	bardosi jozsef	67	23
2664	ovidiu pop	48	2
2665	bartok csaba	70	2
2666	dawn csutoros	59	5
2667	bajor zita	64	2
2668	gerla alexandra	58	2
2669	marc ferrante	59	1
2670	szabo attila dla	62	12
2671	lata upathyaya	59	2
2672	kuutti lavonen	50	2
2673	kovacs krisztina	84	3
2674	dominik ritszel	53	2
2675	gunter hollerschuster	47	2
2676	bajko aniko	64	4
2677	vandor csaba	70	28
2678	egyestes studio galeriaban tavaszi fesztival	46	2
2679	reischl szilvia	59	6
2680	arkadius ignasak	58	2
2681	kulinyi istvan	69	8
2682	sean snyder	61	2
2683	parkanyi raab peter	60	4
2684	kiss noemi	64	8
2685	koronczy endre	57	2
2686	michal stefanowski	58	4
2687	menyhert laszlo	57	4
2688	tarko janos	67	2
2689	kelemen ors csongor	59	2
2690	huszar kata	67	2
2691	figyelo kepszerkesztoje	49	2
2692	karatson gaborfestomuvesz	52	2
2693	lodz kaliska lengyel sas performensze	52	2
2694	aknai katalin	62	68
2695	baranyai sandor	77	2
2696	yengibarian mamikon	52	12
2697	schall eszter	64	2
2698	iguchi toshino	52	1
2699	fujiwara kazuko	50	2
2700	universitatea arta si design	52	2
2701	abik tamas	67	5
2702	muegyetem rajzi tanszek	50	2
2703	einfach berlin	54	1
2704	balazs kata	64	25
2705	ven emil	56	2
2706	vegh andras	73	12
2707	bordos laszlo zsolt	56	5
2708	cristi pogacean	61	2
2709	witold romer	61	2
2710	kesselyak rita	57	4
2711	fazekas istvan fotoriporter	51	2
2712	rozmann viktor	62	2
2713	schlingloff vili	52	2
2714	fabricius anna es szirtes janos performansza	52	2
2715	izsak maria	64	2
2716	mara novak	70	2
2717	ana opaliae	58	2
2718	robert bresson vetlen balthazar	46	2
2719	zsikla monica	64	1
2720	an seebach	50	1
2721	bardfalvi zsolt	71	4
2722	nagy sandor	70	4
2723	celine saraiva	62	2
2724	manfred mohr	52	6
2725	szabo adam szobraszosztaly	52	1
2726	semann adrienn	58	2
2727	szanto gyorgy	81	2
2728	lukacs istvan	77	2
2729	piti zsuzsanna	73	1
2730	herve rudolf	52	2
2731	fabinyi lili	54	2
2732	matyasi peter	64	41
2733	olah vilmos	69	2
2734	szabo arpad dla europan magyarorszag	52	2
2735	kozremukodik mihajlo vihula kekes zsuzsa vibrafon	42	2
2736	mariam kandiashvili	56	2
2737	tzeng yongning	52	2
2738	keri adam	61	3
2739	tamasi miklos fortepan	53	1
2740	toth viktor trio	81	4
2741	petrik tamas	70	2
2742	bozsogi agnes	67	1
2743	szunyoghy andras	71	2
2744	csermak zsuzsanna lajti virag	53	2
2745	lorincz robert	71	8
2746	felsmann tamas	79	2
2747	cseh centrum	50	4
2748	markus muntean	56	2
2749	cipo galeria	72	12
2750	felhivas onkenteseknek	53	2
2751	radnotzi zsuzsa	67	2
2752	amadeo azar	57	3
2753	garrett nelson	52	4
2754	guttmann szabolcs	52	2
2755	borut peterlin	59	2
2756	alex mirutziu	48	6
2757	balogh beni	54	2
2758	martha albert	69	5
2759	magyar elektrografiai tarsasag	52	18
2760	olah anna	73	2
2761	peternak anna	64	24
2762	dora garcia	67	4
2763	masaki fujihata	54	3
2764	galdivinko andrea	55	2
2765	edelbert kob museum moderner kunst stiftung wien	36	1
2766	ambassador republic finland	45	2
2767	mezei gabor	61	8
2768	martina uhlirova	58	2
2769	hegedus istvan	77	2
2770	kiltau kinga	56	1
2771	kompolthy zsigmond	52	2
2772	paul dick	60	2
2773	hajdu balazs showder club	43	2
2774	stefan hameseder	67	5
2775	tomas piars	58	4
2776	videografus koroknai zsolt	56	1
2777	goose matthias	62	1
2778	ammer gergo	56	15
2779	aquila janos	70	2
2780	dabifarkas rita	71	3
2781	radics mark	87	14
2782	lucia tallova	57	2
2783	tulok livia	50	2
2784	barbara visser	55	2
2785	barta lajos	82	5
2786	heller zsuzsa	64	6
2787	radics mark&suranyi nora	63	2
2788	revesz antal	61	2
2789	balint bertalan	71	17
2790	farkas bori	69	2
2791	alfa pegasi sirrah	50	2
2792	fulop jozsef dla	55	1
2793	kosa rozalia	64	2
2794	turcsanyi judit	67	1
2795	dunai beata	61	6
2796	boldizsar toth	59	2
2797	horvath judit	70	117
2798	ie ursula seileralbring	49	2
2799	koffan karoly ifj	60	4
2800	hrotko helena	57	2
2801	kutatok ejszakaja	50	10
2802	kiraly ferenc	69	6
2803	gotz eszter	67	2
2804	laszlo emoke	67	1
2805	vetro barnabas	64	1
2806	kos tibor ujabsztrakt	51	1
2807	konstantinos antonios guotos	51	4
2808	adam jozsef	75	2
2809	bakos gabor	85	19
2810	simon laszlo	67	36
2811	viskovic jelena	59	7
2812	emodi attila	70	1
2813	jurecsko laszlo	69	31
2814	kopper judit	67	5
2815	simonyi istvan	79	2
2816	selmeczi janos	75	2
2817	lepold zsanett	57	2
2818	ieva epnere	57	8
2819	weber kristof	57	4
2820	ewan mcgregor amerikai pasztoral	49	1
2821	fark laszlo	75	8
2822	yogyakartai kepzomuveszeti egyetem	75	2
2823	kovacs ilona	62	2
2824	aybars asci	56	1
2825	andrea kalinova	62	3
2826	pippa koszerek	55	1
2827	pia salo	67	2
2828	akira kurosawa	58	1
2829	eloado barkoczy janka	80	1
2830	grela alexandra	73	2
2831	schneller maria	62	2
2832	szucs erzsebet	71	33
2833	mojzer tamas	72	4
2834	katharina acht	65	4
2835	badar sandor	70	1
2836	kangiszer dora	64	4
2837	meszaros marta millesime	53	4
2838	gabor gerhes	55	2
2839	joanthan phelps	52	4
