	step6	version 6 - top sim	version 6 - cnt
211	rohmann ditta gordonkamuvesz	52	2
212	banki luca	61	2
213	kocsis zita	57	1
214	franzini paula ca	53	2
215	nagy ildiko	74	11
216	szabadi balint	69	2
217	huszank szilard	59	6
218	billy name	50	7
219	markulik jozsef	69	2
220	tubak csaba	70	2
221	szente szabo akos	61	2
222	csakvari peter	69	2
223	ingo claus	60	1
224	pados gabor mugyujto	60	2
225	kiss gabor miskolc	59	5
226	mark habblewhite	57	1
227	frenyo julia	72	2
228	gyurics balazs	75	3
229	dalibor chatrny	52	6
230	kopocsy anna	67	7
231	kozari akos	73	2
232	nina stoelting	54	2
233	jowita bogna mormul	50	2
234	jonathan naas	64	2
235	kohalmi peter	69	6
236	forgacs anett	61	1
237	marc behrens	57	2
238	tarjani antal	62	2
239	stefania krumlova	57	2
240	villanyi csaba	62	2
241	remenyi petra	69	2
242	pittmann zsofi	67	18
243	tandori dezso	54	11
244	bodi kati	74	5
245	christian zillner	63	8
246	zombori jozsef	69	8
247	racsmany mihaly	56	2
248	mircea moldovan	56	2
249	palko gabor	82	4
250	misetics matyas	56	52
251	harmony korine	57	3
252	soos georgius	56	2
253	zupko gabor	82	2
254	kim levin	67	2
255	leon spek	60	2
256	balogh emese	58	2
257	lala ra1eiae	56	2
258	peto anna ildiko	67	1
259	klajo adrian	58	2
260	biro lajos	67	4
261	balla zoltan	75	4
262	fiatal formatervezok	74	2
263	papp ervin	60	3
264	maxim polescsuk	59	2
265	olah annamari	64	2
266	orosz csaba etpedagogus	50	2
267	wang yahui	50	2
268	krizbaine szabo eva	61	6
269	csato gyorgy	77	2
270	tury gergely	72	4
271	deri eniko	64	2
272	ursula biemann	54	2
273	obschee vzdragivanie	45	1
274	szuhaj gyorgy	72	4
275	julien bihan	55	4
276	eric rockey	52	2
277	aradi ildiko	70	2
278	simona dumitriu	54	1
279	balogh rudolf	72	1
280	ulrike lienbacher	53	1
281	toth illes	60	4
282	nacsa zoltan	75	4
283	hornyik anna manna	52	2
284	baktay patricia	54	1
285	janosihalasz rita	58	4
286	esterhazy marcel	52	2
287	istvanffy andras	57	2
288	kolozsvary marianna	65	4
289	snagy katalin	75	2
290	bereczki kata	64	6
291	bus balazs	75	2
292	itziar barrio	54	2
293	jederan gyorgy	71	9
294	pala zsofia	86	2
295	berczi linda	64	10
296	susan meiselas	56	2
297	hafenscher karoly	62	2
298	maria lavman veto	56	2
299	borocz angelika	67	5
300	carlos azeredo mesquita	52	2
301	foldvari zsuzsa	64	2
302	ronen eidelman	52	2
303	berdo janos	67	2
304	vesztergombi ticia	50	2
305	bende tamas	73	4
306	katharina schumacher	65	2
307	polgar csaba	73	6
308	roka csaba	73	2
309	hideki iinuma	52	1
310	palfalusi attila viktor	51	4
311	megynyitja csakanyi eszter szinmuveszno	48	2
312	ulysse nardin	56	1
313	mnl pest megyei leveltara	53	2
314	galhidy peter	69	44
315	tillmann ja	57	13
316	eleod ildiko	67	5
317	josiane keller	58	2
318	franz strobl	57	2
319	isabelle levenez	64	5
320	prohle gergely	69	6
321	danyadi sara	73	4
322	horvath agnes	67	10
323	patak marta	60	4
324	rendezo olga jegorova	50	1
325	riccardo farkas	56	2
326	tarcsi adam	70	4
327	yola zuchniewicz	48	1
328	moczan peter	67	1
329	raphael grisey	57	4
330	herendi peter	72	50
331	dohy anna	78	2
332	dendel niki	57	2
333	judith schwarzbart	52	2
334	mke kepzomuveszetelmelet	47	2
335	gulyas peter phd filozofiatortenesz	47	2
336	kirsten fredericks	56	2
337	gyorgy peter phd	62	2
338	muller magda	61	1
339	koszonto petranyi zsolt	55	2
340	francois ayroles	57	2
341	kerekasztalbeszelgetes karin tougu	44	2
342	vashegyi gyorgy	74	6
343	palfi gyorgy	75	7
344	deak nora icad	52	2
345	rene raemdonck	56	2
346	bozsik yvette	50	4
347	gaspar oliver	64	2
348	raymond dequin	50	2
349	keiko sei	56	5
350	erdelyi erno	64	2
