name1	name2	similarity
F. Balogh Erzsébet festőművész	Palotai Erzsébet festőművész	83
F. Balogh Erzsébet festőművész	Baksai József festőművész	65
Várkonyi György	Lőrinczy György	67
Várkonyi György	Vadász György	64
Lőrinczy György	Várkonyi György	67
Tóth István fotóművész	Regős István festőművész	70
Tóth István fotóművész	Keleti Éva fotóművész	65
Szilágyi Csilla	Kelecsényi Csilla	62
Szilágyi Csilla	Szilágyi B. András	61
Szilágyi Csilla	Szilágyi László	73
Süvecz Emese	MUCSI Emese	61
Gilbert & George	Gilbert and George	88
Sáros András Miklós	Surányi Miklós	61
Sáros András Miklós	Tamás Gáspár Miklós	63
Sáros András Miklós	Marosi Miklós	62
M. Novák András	Dr. Bán András	69
M. Novák András	Kovács András	71
Alexandru Lupşe	Alexandru Radulescu	71
Alexandru Lupşe	Alexandru Dan	71
Medve Mihály	Vígh Mihály	61
Fa Mariann	Kiscsatári Marianna	62
Adrian Paul Ile	Adrian paul Ile	93
Bagossy Levente	Csordás Levente	67
Vörös Krisztián	Pokrovenszki Krisztián	65
Vörös Krisztián	Szipőcs Krisztina	62
Vörös Krisztián	Szipőcs Krisztina	62
Joanna	Johanna	92
Barlog Károly	Halász Károly HU	62
Barlog Károly	Makk Károly	67
Pacsika Máté	Pacsika Márton	85
Kőrösi Zoltán  író	Kerekes Zoltán	62
Kőrösi Zoltán  író	Kósa Zoltán	62
Wrábel Erzsébet	Horváth Erzsébet	71
Bánkuti András fotográfus	Bődey János fotográfus	64
Bánkuti András fotográfus	Bán András műkritikus	61
Iparművészeti Múzeum	művészeti vezető	67
a Francia Intézet igazgatója	az Ernst Múzeum igazgatója	67
a Francia Intézet igazgatója	a Műcsarnok főigazgatója	62
Horváth Mátyás	Horváth Márk	77
Tarr Hajnalka	TARR Hajnalka	77
Kovács Lola	Kovács D. Barna	62
Kovács Lola	Kovács Gergely	64
Kovács Lola	F. Kovács Attila	67
Kovács Lola	Kovács Péter	61
Kovács Lola	Kovács Ádám	64
Kovács Lola	Kovács Gábor	70
Pokrovenszki Krisztián	Vörös Krisztián	65
MUCSI Emese	Süvecz Emese	61
Moizer Zsuzsa	Farkas Zsuzsa	62
Moizer Zsuzsa	Koszti Zsuzsanna	62
Moizer Zsuzsa	Kondorosi Zsuzsa	62
Moizer Zsuzsa	Vinkler Zsuzsa	74
Moizer Zsuzsa	Dárdai Zsuzsa	62
Moizer Zsuzsa	Márki Zsuzsi	64
Moizer Zsuzsa	Medve Zsuzsi	64
KOLLÁR Dalma Eszter	Lazar Eszter	65
Makkai Dániel	Baló Dániel	67
Makkai Dániel	Bajkó Dá­ni­el	67
Vadász György	Várkonyi György	64
Vadász György	Dénes György	64
CSIKAI Márta szobrászművész	Csontos László szobrászművész	64
Aleksandra Tubielewicz	Alessandra Tesi	70
BARTHA Sándor	BARTUS Andrea	62
Kovács D. Barna	Kovács Lola	62
Kovács D. Barna	Kováč Barnabáš	69
Kardos Mária	Lugossy Mária	64
Kardos Mária	Karas Dávid	61
Vígh Mihály	Medve Mihály	61
Polgár László	Várhelyi László	64
Polgár László	Varga Amár László	67
Polgár László	Szilágyi László	64
Polgár László	Vanyúr László	62
Polgár László	Potozky László	67
Polgár László	Moholy-Nagy László	65
Polgár László	Nagy László	67
Polgár László	Megyes László	62
Daniel Domig	Daniel Georges	69
GAUL PÉTER	SZARKA PÉTER	64
Várhelyi László	Polgár László	64
Várhelyi László	Varga Amár László	62
Várhelyi László	Szilágyi László	67
Várhelyi László	Vincze László	64
Várhelyi László	Vanyúr László	64
Várhelyi László	Beke László	62
Várhelyi László	Moholy-Nagy László	61
Várhelyi László	Beke László	62
Várhelyi László	Nagy László	62
Várhelyi László	Földényi László	67
Várhelyi László	Megyes László	64
Lévai Balázs	Gárdi Balázs	67
Lévai Balázs	Illés Balázs	67
Lévai Balázs	Bús Balázs	64
Anca Benera	Andreas Wegner	64
Góbi Rita Társulat	KoMa Társulat	65
Verebes György festőművész	Köves Éva festőművész	64
Tátrai Annamária	Tarr Annamária	80
Csontos László szobrászművész	CSIKAI Márta szobrászművész	64
Regős István festőművész	Tóth István fotóművész	70
Regős István festőművész	Kéri Ádám festőművész	62
Regős István festőművész	Baksai József festőművész	61
Regős István festőművész	Köves Éva festőművész	71
Galbovy Attila	Gulyás-Kovács Attila	65
Galbovy Attila	Dóra Attila	64
Galbovy Attila	Balla Attila	69
Simon Zsuzsi	Vinkler Zsuzsa	62
Simon Zsuzsi	Márki Zsuzsi	67
dr.Rényi András	Dr. Bán András	69
NAGY István	Hajdú István	61
NAGY István	Hajdú István	61
NAGY István	STARK István	70
NAGY István	NÁDLER István	67
NAGY István	Tenke István	61
Molnár Sándor	ZÉES Zoltán Sándor	65
Knyihár Bence	Menyhárt Jenő	62
Marosvölgyi Gábor	Magolcsay Nagy Gábor	65
Gilbert and George	Gilbert & George	88
Mészáros Zsófi	Mészáros Melinda	67
Varga Amár László	Polgár László	67
Varga Amár László	Várhelyi László	62
Varga Amár László	Varga László építész	65
Varga Amár László	Varga G. András	62
Varga Amár László	Vanyúr László	67
Varga Amár László	Nagy László	64
Izinger Katalin	Izinger Kati	89
Izinger Katalin	Káldi Katalin	64
Izinger Katalin	Tesch Katalin	64
Izinger Katalin	Keserű Katalin	69
Izinger Katalin	Koltai Katalin	62
művészeti vezető	Iparművészeti Múzeum	67
Somogyi Endre	Koronczy Endre	67
Somogyi Endre	Balogh Endre	64
Szikora Tamás	Bakó Tamás	61
Izsó Miklós	Pinke Miklós	61
Izsó Miklós	Marosi Miklós	67
Izsó Miklós	Pinke Miklós	61
Bődey János fotográfus	Bánkuti András fotográfus	64
Csontos János	Szoboszlay János	62
Csontos János	Szoboszlai János	62
Csontos János	Donnák János	64
Surányi Miklós	Sáros András Miklós	61
Surányi Miklós	Pinke Miklós	62
Surányi Miklós	Marosi Miklós	67
Surányi Miklós	Pinke Miklós	62
Hajdú István	NAGY István	61
Miklos P. Simon	Lisa Simon	64
