name1	name2	similarity
bme epitomuveszeti doktori iskola	borsos lorinc lilla	42
bme epitomuveszeti doktori iskola	menesi attila	43
bme epitomuveszeti doktori iskola	teemu kivikangas	41
bme epitomuveszeti doktori iskola	muveszeti akademia	51
bme epitomuveszeti doktori iskola	toth norbert kinai szepmuveszeti muzeumban kuratora	48
bme epitomuveszeti doktori iskola	boszormenyi dora	45
bme epitomuveszeti doktori iskola	solymos sandor magyar kepzomuveszeti egyetem	42
bme epitomuveszeti doktori iskola	meszaros julia muveszettortenesz	49
bme epitomuveszeti doktori iskola	tarlatvezetes batai sandor	41
bme epitomuveszeti doktori iskola	moholynagy muveszeti egyetem	43
csomosne molnar monika	kiss veronika edit	45
csomosne molnar monika	olajos ilka	42
csomosne molnar monika	lorant aniko	41
csomosne molnar monika	nina maron	44
csomosne molnar monika	borsos lorinc lilla	44
csomosne molnar monika	vasas erika	42
csomosne molnar monika	molnar csaba dla	42
csomosne molnar monika	danel monika	59
csomosne molnar monika	csutak magdolna	43
csomosne molnar monika	dominik lang	41
csomosne molnar monika	uveges monika	46
csomosne molnar monika	soos karoly	48
csomosne molnar monika	zsolnay porcelanmanufaktura rt	42
csomosne molnar monika	cserna szabo andras	44
csomosne molnar monika	soltesz boglarka	53
csomosne molnar monika	bohus zoltan	41
csomosne molnar monika	nemes marton	47
csomosne molnar monika	imrei boglarka	50
csomosne molnar monika	simon laszlo	47
csomosne molnar monika	dusan slivka	41
csomosne molnar monika	xmenz idiotronicarnai	42
csomosne molnar monika	miroslav koreak	43
csomosne molnar monika	boszormenyi dora	42
csomosne molnar monika	svatopluk mikyta	42
csomosne molnar monika	szoke peter jakab	41
csomosne molnar monika	csonka zoltan	51
csomosne molnar monika	sos ildiko	44
csomosne molnar monika	maess malgorzata anand	41
csomosne molnar monika	maria temnitschka	46
csomosne molnar monika	arnold skolnick	43
csomosne molnar monika	okm szakallamtitkara	43
csomosne molnar monika	molnar ani galeriaei	48
csomosne molnar monika	csermak zsuzsanna lajti virag	43
csomosne molnar monika	csigo tamas	42
csomosne molnar monika	csernik attila	44
csomosne molnar monika	ef zambo szonja	43
csomosne molnar monika	simonyi andras	44
csomosne molnar monika	molnar agnes eva	47
csomosne molnar monika	szocs zoltan zorgo	45
eduardo guerra	foldvari zsuzsa	41
