name1	name2	similarity
Mizsei Zoltán	Gergye Zoltán	62
Mizsei Zoltán	Seprűs Zoltán	62
Mizsei Zoltán	Kiss Zoltán	75
Mizsei Zoltán	Kluger Zoltán	62
Mizsei Zoltán	Ezüst Gy. Zoltán	62
Mizsei Zoltán	Máriás Zoltáneti író	61
Mizsei Zoltán	Huszárik Zoltán	64
Zalavári József	Havasréti József író	63
Zalavári József	Varga József	67
Koós Pál	Babos Pálma	63
Koós Pál	Ritoók Pál	67
N. Mészáros Júlia	Dr. Mészáros Judit	74
Fekete György	Bánki György	64
Fekete György	Reskó György	72
Fekete György	Beyer György	72
Albert Anna	Bálint Anna	64
Albert Anna	Albert Kinga	78
Mark Martinko	Marki Márta	67
Farkas Anna	Farkas Roland	67
Somogyi Emese	Somogyi Pál	67
Somogyi Emese	Somogyi Márk	64
MASCHER Róbert	Smid Róbert	64
MASCHER Róbert	FARKAS Róbert	67
Varga-Lelkes Annamária	Őry Annamária	63
Markus Bacher	Varnus Xaver	64
Nyilas Kál	Nicolas Muler	61
Majoros Zita	Kovács Zita	61
Anna Marg	Jonas Marguet	64
Lukács Róbert	Lukács Gábor	72
Ludmann Mihály	Gera Mihály	64
Roskó Gábor	Lukács Gábor	61
Roskó Gábor	Pogány Gábor	61
Roskó Gábor	Pataki Gábor	61
Roskó Gábor	Reskó György	61
Roskó Gábor	Kaszás Gábor	61
Roskó Gábor	MÁRIÁN Gábor	61
Ronga Eszter	Hajdú Eszter	67
Ronga Eszter	Rónai Péter	61
Menyhárt Norbert	Horváth Norbert	65
Bartha Sandor	Bíró Sándor	67
Jegenyés János	Bődey János	64
Jegenyés János	Gulyás János	62
Pálfi Balázs	Csizik Balázs	64
Pálfi Balázs	Hadházi Balázs	69
SZEGEDI Noémi	Gera Noémi	61
SZEGEDI Noémi	ÁRKI Noémi	61
Gergye Zoltán	Mizsei Zoltán	62
Gergye Zoltán	Seprűs Zoltán	69
Gergye Zoltán	Kluger Zoltán	69
Gergye Zoltán	Hermann Zoltán	67
Gergye Zoltán	Ezüst Gy. Zoltán	62
Bálint Anna	Albert Anna	64
Bálint Anna	Bálint Endre	70
Palotai János	Pataki Gábor	64
Palotai János	Huszti János	64
Palotai János	Kulka János	67
Novotny Tihamér	Novotny Tihamer	93
Kristóf Marci	Dés Marci	64
Tróznai Attila	Raum Attila	64
Tróznai Attila	Sirbik Attila	67
Tölg-Molnár Zoltán	Kluger Zoltán	65
Lukács Gábor	Lukács Róbert	72
Lukács Gábor	Roskó Gábor	61
Lukács Gábor	Pál Gábor	67
Lukács Gábor	Kaszás Gábor	67
Lukács Gábor	Máté Gábor	64
Lukács Gábor	Lukács Orsolya	62
Lukács Gábor	Lukács Viola	67
Kovács Zita	Majoros Zita	61
Kovács Zita	Kovács Zsolt	78
Kovács Zita	Kovács Borbála	64
Szentesi	Szenteleki Dóra	61
SUGÁR János	Gulyás János	61
Vécsi Nagy Zoltán	Ezüst Gy. Zoltán	61
Vécsi Nagy Zoltán	Nagy Sándor Zoltán	63
HERENDI Péter	Dóka Péter	61
HERENDI Péter	TORNYAI Péter	69
Szűts Zsuzsa	Szűts Kata	64
Szűts Zsuzsa	Pitti Zsuzsa	67
Szűts Zsuzsa	Kolláth Zsuzsa	62
Szűts Zsuzsa	Tamás Zsuzsa	67
Németh János	Németh Ágnes	75
Németh János	Némethi Lajos író	62
Németh János	Bődey János	61
Németh János	Németh László	72
Törzsök Kata	Szűts Kata	64
Flohr Zsuzsi	Ujj Zsuzsi	64
Flohr Zsuzsi	Kolláth Zsuzsa	62
Flohr Zsuzsi	Richter Zsuzsi	69
Kóti Katalin	Nagy T Katalin	62
Kóti Katalin	Szegedi Katalin	67
Kóti Katalin	Takács Katalin	62
Kóti Katalin	Pásztor Erika Katalin	61
Kóti Katalin	KÖNYV Katalin Éva	62
Kóti Katalin	Bakos Katalin	64
Kóti Katalin	Pusztaszeri Katalin	65
Albert Kinga	Albert Anna	78
Albert Kinga	Kali Kinga	64
Németh Ágnes	Németh János	75
Németh Ágnes	Németh László	64
Dr. Mészáros Judit	N. Mészáros Júlia	74
Dr. Mészáros Judit	N. Mészáros Júlia	74
Novotny Tihamer	Novotny Tihamér	93
Molnár Nikoletta	Molnár Zsófia	62
Nagy Zsófia Magdolna	Nagy Zsófi	67
Némethi Lajos író	Németh János	62
Némethi Lajos író	Németh László	67
Kondor Attila	Kondor Attila festőművész	68
Kondor Attila	Zsigmond Attila	71
Kondor Attila	Pácser Attila	62
Kondor Attila	Sirbik Attila	62
Hammer Ferenc	Berkó Ferenc	72
Hammer Ferenc	Stammler Adrienn	62
Hammer Ferenc	Kő Ferenc	64
Hammer Ferenc	Hack Ferenc	75
Parádi Judit	Pálfi Judit	78
Seprűs Zoltán	Mizsei Zoltán	62
Seprűs Zoltán	Gergye Zoltán	69
Seprűs Zoltán	Berszán Zsolt	62
Seprűs Zoltán	Kiss Zoltán	67
Seprűs Zoltán	Sz. Bíró Zoltán	64
Seprűs Zoltán	Kluger Zoltán	69
Seprűs Zoltán	NACSA Zoltán	64
Seprűs Zoltán	Hermann Zoltán	67
Rolik Ádám	Jávorkai Ádám	61
Ézsiás István	Bor István	61
Ézsiás István	Magi István	67
Ézsiás István	Zakariás István	71
Ézsiás István	Nádler István	62
Magyar Gábor	Pogány Gábor	67
Magyar Gábor	Pataki Gábor	67
Magyar Gábor	Magyari Zsolt	64
Magyar Gábor	Máté Gábor	64
Jonas Marguet	Anna Marg	64
D. Udvardy Ildikó	D. Udvary Ildikó	97
közreműködik: Barkóczi Noémi gitár	Közreműködik: Mátrai Péter	63
Szekeres Alexanra	Lázár Alexandra	69
Közreműködik: Mátrai Péter	közreműködik: Barkóczi Noémi gitár	63
Sári Ember	Sárközi Péter	61
Haraszty István	Bor István	64
Haraszty István	Magi István	62
Haraszty István	Stark István	67
Haraszty István	Jarmeczky István	71
Haraszty István	Zakariás István	67
Döme Gábor	Pál Gábor	63
Döme Gábor	Zemplén Gábor	61
Nagy T Katalin	Kóti Katalin	62
Nagy T Katalin	Lengyel Katalin	69
Nagy T Katalin	Szegedi Katalin	62
Nagy T Katalin	Takács Katalin	64
Nagy T Katalin	Bakos Katalin	67
Gerzson János	Gulyás János	64
Gerzson János	Dr. Szász János	64
Szegedy-Maszák Zoltán	Huszárik Zoltán	61
Jane Petrie	James Prosek	61
Pataki János festőművész	Bullás József festőművész	61
Pataki János festőművész	Kossuth-síjas festőművész	61
NAGY Barbara	Antal Barbara	72
Berkó Ferenc	Hammer Ferenc	72
Berkó Ferenc	Kő Ferenc	67
Berkó Ferenc	Hack Ferenc	70
Ujj Zsuzsi	Flohr Zsuzsi	64
Haris László	András László	72
Haris László	Henn László	70
Haris László	Kerekes László	69
Németh Szilvi	Német Szilvi	96
Németh Szilvi	Németh László	69
Németh Szilvi	Fekete Szilvia	67
SZABÓ Kristóf	Lázár Kristóf	62
James Carcass	James Prosek	64
Berszán Zsolt	Seprűs Zoltán	62
Stammler Adrienn	Hammer Ferenc	62
Szabó Sarolta	Z Szabó Zoltán	67
Szabó Sarolta	Szabóné Harmat Ilona	61
Filep Sándor	Zoltán Sándor	64
Filep Sándor	Zsila Sándor	75
Filep Sándor	Bíró Sándor	61
Filep Sándor	Mohy Sándor	61
Blaskó János kiállításán	Bátai Sándor kiállításán	75
Kiss Zoltán	Mizsei Zoltán	75
Kiss Zoltán	Seprűs Zoltán	67
Kiss Zoltán	Kluger Zoltán	67
Kiss Zoltán	NACSA Zoltán	61
Kiss Zoltán	Kovács Zsolt	61
Kiss Zoltán	Katona Zoltán	67
Kiss Zoltán	Huszárik Zoltán	62
Radnótzi Zsuzsa	Pitti Zsuzsa	67
Jánosi Csaba	Nemes Csaba	61
Jánosi Csaba	Nemes Csaba	61
Hellenbach Gabriella	Csizek Gabriella	61
Hellenbach Gabriella	Uhl Gabriella	67
Duba Andrea	Balogh Andrea	67
Kukla Krisztián esztéta	Kukla Krisztián esztéta  MODEM	87
Bánki György	Fekete György	64
Bánki György	Homonna György	62
Bánki György	Reskó György	67
Bánki György	Beyer György	67
Bánki György	Galántai György	74
Schuller Judit	Elek Judit	67
Schuller Judit	Schneller János	62
Elek Judit	Schuller Judit	67
Elek Judit	Pálfi Judit	67
Elek Judit	Nemes Judith	64
valamint a T+U szerkesztőinek részvételével	az Octogon főszerkesztője részvételével	68
Sz. Bíró Zoltán	Seprűs Zoltán	64
Sz. Bíró Zoltán	Z Szabó Zoltán	69
Besenyei Zsuzsanna	Erdős Zsuzsanna	67
Pogány Gábor	Roskó Gábor	61
Pogány Gábor	Magyar Gábor	67
Pogány Gábor	Pál Gábor	76
Pogány Gábor	Horváth Gábor	64
Pogány Gábor	Máté Gábor	64
Forgács Kristóf	Lázár Kristóf	64
Forgács Kristóf	Forgács Péter art-ista	65
Gabriela Garlatyová	Daniela Baráčková	61
az Artportal főszerkesztője	Martos Gábor  a MúzeumCafé főszerkesztője	62
az Artportal főszerkesztője	az Octogon főszerkesztője részvételével	61
Német Szilvi	Németh Szilvi	96
Német Szilvi	Németh László	64
Német Szilvi	Fekete Szilvia	69
Rényi András   az ELTE Művészettörténeti Intézet igazgatója	az ELTE Művészetelméleti és Médiakutatási Intézetének igazgatója	63
Bődey János	Jegenyés János	64
Bődey János	Németh János	61
Bődey János	Gulyás János	61
Babos Pálma	Koós Pál	63
Balogh Andrea	Duba Andrea	67
Lengyel Katalin	Nagy T Katalin	69
Lengyel Katalin	Szegedi Katalin	73
Vörös István költő	Kemény István költő	70
Kluger Zoltán	Mizsei Zoltán	62
Kluger Zoltán	Gergye Zoltán	69
Kluger Zoltán	Tölg-Molnár Zoltán	65
Kluger Zoltán	Seprűs Zoltán	69
Kluger Zoltán	Kiss Zoltán	67
Kluger Zoltán	Rockenbauer Zoltán	65
Kluger Zoltán	Hermann Zoltán	67
Kluger Zoltán	Katona Zoltán	62
Kluger Zoltán	Huszárik Zoltán	64
Gazdag Ági	Taba Ági	67
Kondor Attila festőművész	Kondor Attila	68
Kondor Attila festőművész	Őry Annamária festőművész	68
Kondor Attila festőművész	Kossuth-síjas festőművész	64
Doboviczki Attila	Sirbik Attila	67
Z Szabó Zoltán	Szabó Sarolta	67
Z Szabó Zoltán	Sz. Bíró Zoltán	69
Z Szabó Zoltán	NACSA Zoltán	62
Korniss Péter	Kis Péter	82
Korniss Péter	Sárközi Péter	62
Korniss Péter	Rákosi Péter	64
Korniss Péter	Rónai Péter	67
Korniss Péter	Herendi Péter	69
Korniss Péter	Felméri Péter	62
Korniss Péter	Páhi Péter	61
Jávorkai Ádám	Rolik Ádám	61
Gera Mihály	Ludmann Mihály	64
Gera Mihály	Dés Mihály	67
Nyíri Zsolt	Magyari Zsolt	75
Nyíri Zsolt	Nagy Károly Zsolt	64
Pataki Gábor	Roskó Gábor	61
Pataki Gábor	Palotai János	64
Pataki Gábor	Magyar Gábor	67
Pataki Gábor	Pál Gábor	67
