name1	name2	similarity
Niklai Judit	Nemes Judit	61
Niklai Judit	Kele Judit	64
Niklai Judit	Csata Judit	61
Nagy Andrea	Lovas Nagy Anna	62
Nagy Andrea	Nagy Lea	74
Nagy Andrea	Nagy Imre	70
Nagy Andrea	Felvégi Andrea	64
Nagy Andrea	Nagy Sándor	73
SZABÓ PÉTER	RÓNAI PÉTER	64
Fusz Mátyás	Krista Mátyás	67
Balogh Kálmán	Tichy Kálmán	64
Jancsó Miklós	Rózsa Miklós	64
Jancsó Miklós	Mazsaroff Miklós	62
Csikós Attila	Sajgó Attila	64
Csikós Attila	Dóczi Attila	64
Csikós Attila	Hetesi Attila	69
Csikós Attila	Domonkos Attila	64
Csikós Attila	Kovács Attila	62
Csikós Attila	Szücs Attila	64
Csikós Attila	Szabó Attila	64
Hatházi László	Fábián László	67
Hatházi László	Hódi László	72
Hatházi László	Máthé László	69
Hatházi László	Szily László	69
Hatházi László	Hefter László	67
Hatházi László	Varga László	62
Hatházi László	Szamosi László	64
Hatházi László	Herczeg László	64
Erhard Miklós médiaművész	Erhardt Miklós	67
A kiállítás szervezői: Sass Valéria és Szabó Ádám	A kiállítás tervezője: Rafi Segal	61
Lakosi Richárd	KISS Richárd	62
Földényi F. László	Hódi László	62
Bakonyi Zsuzsi	Bükki Zsuzsanna	62
Bakonyi Zsuzsi	Barakonyi Szabolcs	62
Sajgó Attila	Csikós Attila	64
Sajgó Attila	Varga Attila	75
Sajgó Attila	Galbovy Attila	62
Sajgó Attila	Dóczi Attila	67
Sajgó Attila	Szücs Attila	67
Sajgó Attila	Szabó Attila	83
Szente-Szabó Ákos festőművész	Lajta Gábor festőművész	62
Miovác Márton	Győri Márton	64
Miovác Márton	Túri Márton	67
Fehér Márta	A Fehér Vera	70
Ligeti György	Krizka György	62
Ligeti György	Laluk György	64
Beöthy Balazs	Benkovits Balázs	62
FÖLDI PÉTER	RÓNAI PÉTER	64
Ilosvai Varga István	Virág István	62
Szigeti András	Szőke András	77
Szigeti András	Szombathy András	67
Szigeti András	Kákóczki András	62
Szigeti András	Szirtes András	79
Szigeti András	Szesztay András	76
Szigeti András	Medve András	62
Szigeti András	Szigethy Anna	67
Szigeti András	Blazsek András	64
Szigeti András	Bánkuti András	64
Szigeti András	Solti András Imre	65
Páll Zoltán	Porpáczy Zoltán	69
Páll Zoltán	Lökős Zoltán	61
Páll Zoltán	Fejős Zoltán	61
Páll Zoltán	Prosek Zoltán	67
Szil István	Homolya István	64
Szil István	Virág István	70
Szil István	Virágvölgyi István	62
Szil István	Regos István	61
Szil István	István	71
Szil István	Marosits István	62
Szil István	Kacsó István	61
Szil István	Pók István	67
Szőke András	Szigeti András	77
Szőke András	Szombathy András	64
Szőke András	Kákóczki András	67
Szőke András	Szirtes András	77
Szőke András	Szesztay András	74
Szőke András	Medve András	67
Szőke András	Blazsek András	69
Szőke András	Bánkuti András	62
Erhardt Miklós	Erhard Miklós médiaművész	67
Erhardt Miklós	Rózsa Miklós	62
Nemes Judit	Niklai Judit	61
Nemes Judit	Gellér Judit	61
Nemes Judit	Kele Judit	76
Nemes Judit	Csata Judit	64
KRIZBAI Sándor	Bodó Sándor	64
Sógor Ákos	Szabó Ákos	70
Fábián László	Hatházi László	67
Fábián László	Hódi László	67
Fábián László	Fésüs László	64
Fábián László	Máthé László	64
Fábián László	Szily László	64
RÓNAI PÉTER	SZABÓ PÉTER	64
RÓNAI PÉTER	FÖLDI PÉTER	64
RÓNAI PÉTER	HECKER PÉTER	61
Kiss Kata	Könyv Kata	63
Kiss Kata	Keserű Katalin	61
Kiss Kata	Oltai Kata	63
Szombathy András	Szigeti András	67
Szombathy András	Szőke András	64
Szombathy András	Szirtes András	67
Szombathy András	Szesztay András	71
Szombathy András	Szombathy Károly	69
Szombathy András	Kováts András	62
Szombathy András	Solti András Imre	61
Ragó Anett pszichológus	Döbrentey Zsolt pszichológus	63
Szolnoki József	Zombori József	69
Szolnoki József	Gaál József	62
Szolnoki József	Szurcsik József	67
Szolnoki József	Készman József	62
Pócsik Andrea	Bordács Andrea	67
0	50	67
Csáky Marianne	Gábor Marianne	71
Radnóti Ákos	Szabó Ákos	64
Husz Dorottya	Gyürk Dorottya	67
Varga Attila	Sajgó Attila	75
Varga Attila	Varga Bertalan	69
Varga Attila	Galbovy Attila	62
Varga Attila	Varga Anna Gizella	67
Varga Attila	Varga Csaba	61
Varga Attila	Szabó Attila	67
