name1	name2	similarity
Makó Judit	Csorba Judit	64
Makó Judit	Szabó Judit	76
Román György	Holdas György	64
Román György	Szász György	67
Román György	Brenner György	62
Román György	Németh György	64
Anton Lederer	Altneder Péter	67
Bass László	Milasovszky László	69
Bass László	Lakner László	67
Bass László	Madaras László	72
Bass László	Böröcz László	67
Bass László	feLugossy László	67
Bass László	Lelkes László	67
Bass László	Borbély László	64
Bass László	CSÍZY László	61
Szűcs György	Csepeli György	62
Szűcs György	Giczy György	67
Szűcs György	Klösz György	67
Szűcs György	Szűcs Teri	64
Szűcs György	Holdas György	64
Szűcs György	Szász György	83
Szűcs György	Cséka György	67
Szűcs György	Szegő György	75
Mile Szandra	Tasnádi Szadra	62
Beck András	Jeles András	70
Beck András	Herpai András	67
Beck András	Árvai András	61
Beck András	Rigler András	67
Beck András	Szakács András	64
Beck András	Kákóczki András	69
Beck András	Urbán András	61
Beck András	Kerekes András	72
Beck András	Ferkai András	75
zenei közreműködő: Oláh Ernő hegedűművész	Közreműködik: Szirtes Edina Mókus hegedűművész	62
TÓTH Krisztina	Rajnai Krisztina	67
TÓTH Krisztina	Halega Krisztián	67
TÓTH Krisztina	L. Balogh Krisztina	61
Hangyel Orsolya	Péntek Orsolya	69
Hangyel Orsolya	Merhán Orsolya	62
Hangyel Orsolya	Margitay Orsolya	71
Tóth Zsuzsanna	Balogh Zsuzsanna	73
Tóth Zsuzsanna	Bakonyi Zsuzsanna	65
Tóth Zsuzsanna	Simon Zsuzsanna	69
Tóth Zsuzsanna	Tóth Laca	61
Papp Katalin	Süveg Katalin	64
Papp Katalin	BIESS Katalin	64
Papp Katalin	Aknai Katalin	72
Papp Katalin	S.Nagy Katalin	69
Papp Katalin	Tarsó Katalin	72
Papp Katalin	Hajdu Katalin	72
Sergiu Toma	Seregi Tamás	70
Boris Buden	Bori Bálint	64
Csepeli György	Szűcs György	62
Csepeli György	Giczy György	62
Csepeli György	Klösz György	62
Csepeli György	Szász György	62
Csepeli György	Brenner György	64
Csepeli György	Cséka György	69
Csepeli György	Szegő György	62
Krizbai Sándor	Pinczehelyi Sándor	62
Krizbai Sándor	Szilágyi Sándor	62
Krizbai Sándor	Körei Sándor	77
Huszárik Zoltán	Kőrösi Zoltán	64
Huszárik Zoltán	Csordás Zoltán	62
Huszárik Zoltán	Bese Zoltán	62
Daniel Ferstl	Daniel Alcalá	62
Zajtai Szabolcs	Kispál Szabolcs	67
Gádoros Lajos	Boros Lajos	83
Sinkó Istváneti író	Szakács István író	70
Sinkó Istváneti író	Sediánszky Jánoseti író	67
Sinkó Istváneti író	Sinkó István	77
Süveg Katalin	Papp Katalin	64
Süveg Katalin	BIESS Katalin	69
Süveg Katalin	Torgyik Katalin	64
Süveg Katalin	Aknai Katalin	62
Süveg Katalin	S.Nagy Katalin	74
Süveg Katalin	Tarsó Katalin	62
Süveg Katalin	Hajdu Katalin	62
KAPITÁNY Éva	PINTÉR Éva	64
Molnár Farkas	Varga Farkas	64
Molnár Farkas	Molnár Gyula	64
Molnár Farkas	L. Molnár Mária	64
Helyes Dániel	Krausz Dániel	62
Keresztesi Bo	Keresztesi József	73
Sebeö Talán	Seregi Tamás	61
Giczy György	Szűcs György	67
Giczy György	Csepeli György	62
Giczy György	Klösz György	67
Giczy György	GHYCZY György	64
Giczy György	Szász György	67
Giczy György	Szegő György	67
A. Fehér Vera	Fehér Anna	61
Dr. Christa Steinle	Christa Wenzl	69
Orosz Márton	Simon Márton	67
Szatmári Gergely fotóművész	Birkás Nelly fotóművész	64
F. Farkas Tamás	Farkas Pál	64
Roskó Gábor	Borókai Gábor	67
Roskó Gábor	Szabó Gábor	64
Roskó Gábor	Kristóf Gábor	67
Roskó Gábor	Pataki Gábor	61
Roskó Gábor	Szöke Gábor	64
Roskó Gábor	Gulyás Gábor	61
Farkasdy Zoltán	Kőrösi Zoltán	64
Farkasdy Zoltán	Bakos Zoltán	74
Farkasdy Zoltán	Csordás Zoltán	62
Farkasdy Zoltán	Farkas Pál	64
Farkasdy Zoltán	Bese Zoltán	62
dr. Máriás	drMáriás	89
Varga Farkas	Molnár Farkas	64
Fodor Eszter	Nádas Eszter	67
Fodor Eszter	Fodor János	61
Fodor Eszter	Kores Korcsmár Eszter	61
Korompai Péter	Somody Péter	62
Korompai Péter	Hermann Péter	67
Korompai Péter	Kréher Péter	62
Déri Miklós	Erdély Miklós	67
Déri Miklós	Acsai Miklós	70
Déri Miklós	GAÁL Miklós	64
Déri Miklós	Mécs Miklós	73
Frank Frigyes	Gödrös Frigyes	67
Almási Miklós esztéta	Acsai Miklós	61
Molnár Gyula	Molnár Farkas	64
Molnár Gyula	Gáspár Gyula	67
Milasovszky László	Bass László	69
Milasovszky László	Madaras László	62
Lipcsey György szobrászművész	Nagy Benedek szobrászművész	61
Lipcsey György szobrászművész	Pintér Balázs - szobrászművész	61
Kőrösi Zoltán	Huszárik Zoltán	64
Kőrösi Zoltán	Farkasdy Zoltán	64
Kőrösi Zoltán	Bakos Zoltán	64
Kőrösi Zoltán	Csordás Zoltán	67
Kőrösi Zoltán	Győri Zsolt	67
Kőrösi Zoltán	Perovics Zoltán	64
Kőrösi Zoltán	Bese Zoltán	67
Csörgő Attila	Nemes Attila	64
Csörgő Attila	Balázs Attila	62
Csörgő Attila	Berka Attila	64
Nemes Ferenc	Veszely Ferenc	69
Nemes Ferenc	Temesi Ferenc	88
Nemes Ferenc	LANTOS Ferenc	64
Nemes Ferenc	Bíró Ferenc	61
Nemes Ferenc	Farkas Ferenc	64
Nemes Ferenc	Pócsy Ferenc	67
Balogh Zsuzsanna	Tóth Zsuzsanna	73
Balogh Zsuzsanna	Bakonyi Zsuzsanna	79
Balogh Zsuzsanna	L. Balogh Krisztina	63
Balogh Zsuzsanna	Simon Zsuzsanna	71
Péntek Orsolya	Hangyel Orsolya	69
Péntek Orsolya	Merhán Orsolya	64
Szakolczay Lajos irodalomtörténész	Bazsányi Sándor irodalomtörténész	69
Szakolczay Lajos irodalomtörténész	Szakolczay Lajos irodalom-etkritikus	83
Fekete Balázs	Faa Balázs	70
Fekete Balázs	Fekete Valér	72
Nagy Ildikó	PAPP Ildikó	64
Nagy Ildikó	Fülöp Ildikó	61
Nagy Ildikó	Nagy Kristóf	61
BIESS Katalin	Papp Katalin	64
BIESS Katalin	Süveg Katalin	69
BIESS Katalin	Aknai Katalin	62
BIESS Katalin	S.Nagy Katalin	67
BIESS Katalin	Tarsó Katalin	62
BIESS Katalin	Hajdu Katalin	62
Tomas Ruller	Thomas Baldner	69
Sturcz János	Kukucska János	62
Sturcz János	Fodor János	61
Sturcz János	Seres János	70
